,position,item,ref num,amount,black,military,pink,0,0,0
8,center front,#5 metal,ykk dalh // 1-way seperating semi auto lock ,1,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-4006 tpx black,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-0515 tpx military,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 15-1512 tpx pink,none,none,none
9,hand pockets,#5 coil,non ykk dadhr diecast wire // 1-way non locking,1 per side = 2,silder/pull/ color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-4006 tpx black,silder/pull color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-0515 tpx military,silder/pull color: silver finish (sn039 pseudo nickel bright)/ tape color: 15-1512 tpx pink,none,none,none
10,left arm pocket,#5 metal,non ykk dadhr diecast wire // 1-way non locking,1,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-4006 tpx black,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-0515 tpx military,silder/pull/teeth color: silver finish (sn039 pseudo nickel bright)/ tape color: 15-1512 tpx pink, ,none,none
11,inside pocket,#5 coil,non ykk dadhr diecast wire // 1-way non locking,1,silder/pull/ color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-4006 tpx black,silder/pull color: silver finish (sn039 pseudo nickel bright)/ tape color: 19-0515 tpx military,silder/pull color: silver finish (sn039 pseudo nickel bright)/ tape color: 15-1512 tpx pink,none,none,none
12,zipper pulls,item,supplier/ ref number,amount,black,military,pink,0,0,0
13,cf,l1 metal pull,shenzhen guan hong metal zipper co.  / l1-2016-trim-009 ,1,silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),none,none,none
14,hand pockets, self fabric pull,factory made // 11nt-045,1 per side = 2,shell fabric matching,shell fabric matching,shell fabric matching,none,none,none
15,arm pocket, self fabric pull,factory made // 11nt-045,1,shell fabric matching,shell fabric matching,shell fabric matching,none,none,none
16,inside pocket, self fabric pull,factory made // 11nt-045,1,shell fabric matching,shell fabric matching,shell fabric matching,none,none,none
17,l1 branded trims,item,supplier/ ref number,amount,black,military,pink,0,0,0
18,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,dtm,dtm,none,none,none
19,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,dtm,dtm,none,none,none
20,center front,large l1 button,luks,4 (sew one extra to back of inner side seam label),19-4006 tpx black,military 19-0515 tpx ,pink 15-1512 tpx,none,none,none
21,left chest,"debossed velcro
patch (loop side) ",paiho / trim number,1,19-4006 tpx black,military 19-0515 tpx ,pink 15-1512 tpx,none,none,none
22,snaps,item,supplier/ ref number,amount,black,military,pink,0,0,0
23,hem (hidden),24l metal snap,suppler / ref nuber,1,silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),none,none,none
24,cord locks,item,supplier/ ref number,amount,black,military,pink,0,0,0
25,front hood cord locks ,cord lock,knk / sp-042 cord lock without tie down,1 per side = 2,black,military 19-0515 tcx ,pink 15-1512 tpx,none,none,none
26,grommets,item,supplier/ ref number,amount,black,military,pink,0,0,0
27,front hood cord exits,grommet  8mm diameter,please sorce,2 per side = 4,silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),silver finish (sn039 pseudo nickel bright),none,none,none
28,shockcord,item,supplier/ ref number,amount,black,military,pink,0,0,0
29,"hood, center front button loops",3mm stretch shockcord,suppler / ref nuber,none,dtm (black),military 19-0515 tcx ,pink 15-1512 tpx,none,none,none
30,webbing ,item,supplier/ ref number,amount,black,military,pink,0,0,0
31,hood cord lock tie down,"1/4"" webbing tie down",suppler / ref nuber,1 per side = 2,black,none,none,none,none,none
32,cf button loops,round drawcord ,suppler / ref nuber,4,dtm (black),military 19-0515 tcx ,pink 15-1512 tpx,none,none,none
33,thread,spi,ref number,amount,black,military,pink,0,0,0
34,seams,10-12 spi,#604,none,dtm (black),dtm (military),dtm (pink),none,none,none
35,topstitch,8-10 spi,#606,none,dtm (black),dtm (military),dtm (pink),none,none,none
38,marketing,description,ref number,amount,black,military,pink,0,0,0
41,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
42,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
43,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
44,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
