,position,ref num,location ,content,silt ,military,black,none,none,none
9,broken twill,"soluna/ sonp020-cc01-m
cotton touch, 5k/5k, c6+dwr",a,none,silt ,military,black,none,none,none
10,ribbing,leader collar as last year,"collar, sleeve hems",none,silt ,military,black,none,none,none
11,insulation,supplier/ reference number,location ,content,silt ,military,black,0,0,0
12,polyfill,60g pinneco core,all over,100% polyester,60g pinneco core,60g pinneco core,60g pinneco core,none,none,none
13,seam tape,supplier/ reference number,location ,content,silt ,military,black,0,0,0
14,not seam taped,tsgs,critically taped,none,critically taped,critically taped,critically taped,none,none,none
15,lining,supplier/ reference number,location ,content,silt ,military,black,0,0,0
16,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,none,none,none
17,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,none,none,none
18,solid 210t ,supplier / ref code,arm pocket bag,100% nylon,black,black,black,none,none,none
19,printed satin,solis/ pr258 womens print,hand pocket bags,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,none,none,none
20,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,none,none,none
