,position,ref num,location ,content,ink,bone,black,walnut,none,none
9,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,ink,bone,black,walnut,none,none
10,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
11,insulation,supplier/ reference number,location ,content,ink,bone,black,walnut,0,0
13,seam tape,supplier/ reference number,location ,content,ink,bone,black,walnut,0,0
14,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped,none,none
15,lining,supplier/ reference number,location ,content,ink,bone,black,walnut,0,0
16,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,none,none
17,solid 210t ,solis/ sonp006-1,upper body,100% nylon,black,black,black,black,none,none
18,solid 210t ,solis/ sonp006-1,pocket bags,100% nylon,black,black,black,black,none,none
19,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,none,none
20,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,none,none
