MATERIAL_ID,0,1,2,3,4,5,6
6,INSULATION:,,PINNECO MANTLE 80G ALL OVER,,,TARGET FOB:,
10,MICRO TWILL,"SOLIS / SOTT023-2L2-I MICRO TWILL 10K/10K
",A,,BLACK,MILITARY,WALNUT
11,RIBBING,LEADER COLLAR/ AS LAST YEAR PRODUCTION,SLEEVE CUFFS,,BLACK,MILITARY,WALNUT
14,POLYFILL INSULATION ,PINNECO MANTLE 80G ,ALL OVER,100% POLYESTER,PINNECO MANTLE 80G ,PINNECO MANTLE 80G ,PINNECO MANTLE 80G 
20,BLANKET LINING,SOLIS / SOTY066-D BLANKET LINING / BRUSH / NO DWR,HOOD,,BLANKET LINING,BLANKET LINING,BLANKET LINING
21,BLANKET LINING,SOLIS / SOTY066-D BLANKET LINING / BRUSH / NO DWR,MAIN BODY,,BLANKET LINING,BLANKET LINING,BLANKET LINING
22,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK
23,SOLID 210T ,SOLIS / SONP006-1,SLEEVE POCKET BAG,100% NYLON,BLACK,BLACK,BLACK
24,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,BLACK,BLACK,BLACK
25,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK
26,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK
27,REGULAR MESH,1606B02 (ALS-16038),UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK
28,REGULAR MESH,1606B02 (ALS-16038),GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK
29,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,BLACK,BLACK,BLACK
