MATERIAL_ID,0,1,2,3,4,5,7
0,,L1 JACKET,,,,,
6,,INSULATION:,,"60g BODY, 40G HOOD/SLEEVES ""CS"" POLYFILL",,FABRIC: ,BROKEN TWILL/ OXFORD
11,A,OXFORD NO WASHOUT 5k/5k COATING + C6 DWR 80/10 $4.00,SOLIS L2-584,100% POLY,,,
12,B,BROKEN TWILL 5K/5K HYDROPHILIC COATING C6 DWR 80/10,SOLIS WL248,100% POLY,,,
15,HOOD & SLEEVES,INSULATION,"""CS"" TYPE POLYFILL",100% POLY,40G,,
16,BODY,INSULATION,"""CS"" TYPE POLYFILL",100% POLY,60G,,
22,BACK,BONE COLLECTOR PRINT,TE ER JIA TEXTILE,100% POLY,BONE COLLECTOR PRINT,,
23,CHIN,BT-120 120G BRUSHED TRICOT,FUK LUEN,100% POLY,BLACK,,
24,LOWER BODY & POW,COATED 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
25,SLEEVE GAITER,LYCRA E3953B,Ching Hing Textile,82% Polyester 18% Elastane,BLACK,,
26,VENTS,REGULAR MESH A-1014,FUK LUEN,100% POLY,BLACK,,
27,GOGGLE POCKET,REGULAR MESH A-1014,FUK LUEN,100% POLY,BLACK,,
28,HOOD,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
29,FRONTS,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
30,SLEEVES,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
31,HAND POCKET LINING,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
