MATERIAL_ID,0,1,2,3,4,5,6,7
6,INSULATION:,,150G PINNECO CORE,,,TARGET FOB:,,0
9, #5 MATTE WATER RESISTANT REVERSE COIL,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,CENTER FRONT,1,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,
10, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET HORIZONTAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
11, #5 COIL ZIPPER,"NON YKK / 2-WAY CLOSED END TOP, OPEN END BOTTOM ZIP OUT TO CLOSE. DADHR DIE CAST WIRE NON LOCKING",RIGHT SIDE ENTRY,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
12, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LEFT UNDERARM VENT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
13, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
16,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES,
17,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKET (1) HAND POCKETS (2),3,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
18, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,RIGHT SIDE ENTRY,2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
19, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LEFT UNDERARM VENT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
22,"L1-2018-TRIM-007/ 
Large black faux leather hem wrap",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKET HORIZONTAL,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
23,"L1-2018-TRIM-002
Black Faux Leather patch",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,FRONT LEFT,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
24,"L1-2018-TRIM-024/  L1 EMBROIDERY SMALL
3cm x 2.77cm  ",SOLUNA,FRONT LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
25,"L1-2018-TRIM-025 /
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",SOLUNA,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
28,15MM METAL SNAP ,LUK'S / 404,POWDER SKIRT - SIDE CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),
29,15MM METAL SNAP ,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),
