MATERIAL_ID,0,1,2,3,4,5,6,7
6,INSULATION:,,40G PINNECO MANTLE ,,,TARGET FOB:,,
10,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",A,,BLACK,BONE,GUNMETAL,X
11,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",B,,RUST,BLACK,INK,X
12,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",A,,X,X,X,VINTAGE CAMO BROKEN TWILL
13,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",B,,X,X,X,VINTAGE CAMO BROKEN TWILL
16,POLYFILL INSULATION ,PINNECO MANTLE 40G ,ALL OVER,100% POLYESTER,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G 
22,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,BLACK,BLACK,BLACK,BLACK
23,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,BLACK,BLACK,BLACK,BLACK
24,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK,BLACK
25,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS OTHER THAN HAND,100% NYLON,BLACK,BLACK,BLACK,BLACK
26,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
27,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
28,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
29,REGULAR MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
30,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
31,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,BLACK,BLACK,BLACK,BLACK
