MATERIAL_ID,0,1,2,3,4,5
9,"FRONT PLACKET, CHEST POCKET, SLEEVE PLACKETS",NEW L1 SNAP,LUKS / TRIM NUMBER,10,,
10,CHEST POCKET,HEM WRAP,LUKS / L1-2016-TRIM-013,1,BLACK ,BLACK 
11,HEM,NEW WOVEN LABEL,LUKS / TRIM NUMBER,1,,
15,HAND POCKET SNAPS,24 L METAL,,1 PER SIDE = 2,,
21,BARTACKS,,,,MATCHING,MATCHING
24,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
25,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,5K/5K ,1,5K/5K ,
26,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
27,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
28,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
29,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
