MATERIAL_ID,0,1,2,3,4,5,7
6,INSULATION:,,NON INSULATED,,,TARGET FOB:,0
9,"#5 YKK, 5VT9, 
VISLON® AquaGuard® matte film",YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
10,"#3 YKK, 3VT9, 
VISLON® AquaGuard® matte film",NON YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
11,"#3 YKK, 3VT9, 
VISLON® AquaGuard® matte film",NON YKK /  1-WAY DFW SHORT NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
12, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,SIDE ENTRY ZIPPERS,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
13, #5 COIL ZIPPER,NON YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
16,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT 1 TOP PULL ONLY,1,COLOR,,
17,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET VERTICAL,1,COLOR,,
18,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SLEEVE POCKET,1,COLOR,,
19,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY ZIPPERS,1 PER SIDE = 2,COLOR,,
20,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
23,NITRO TRIM NUMBER //  METAL SNAP,XXX,CHIN,1,COLOR,,
24,NITRO METAL SNAPS,,HAND POCKET FLAPS,1 PER SIDE = 2,COLOR,,
29,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
30,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
31,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
32,METAL EYELETS 11MM ,LUK'S / ET89,BACK HOOD ADJUST,1,METAL COLOR,,
33,CORD LOCK,,BACK HOOD ADJUST,1,COLOR,,
34,BEAD,,BACK HOOD ADJUST,1,COLOR,,
35,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
38,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
39,"GROSGRAIN 3/8""",XXX,ATTACH BACK HOOD CORD LOCK,1,COLOR,,
40,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
41,"ELASTIC  1""",XXX,ENCASED IN BACK OF SLEEVE CUFFS,1 PER SIDE = 2,COLOR,,
42,SHOCKCORD,XXX,HOOD,1,COLOR,,
43,ELASTINE,XXX,LINING MEDIA POCKET CORD EXIT - WELTS,,,,
46,"1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 on placket PAIHO / HookETN7 on body,HAND POCKET FLAPS,2 PER SIDE = 4,MATCH TO SHELL,,
47,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
48,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
52,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
53,BARTACKS,,100 / 2,,MATCH TO SHELL,,
56,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
60,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
65,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
66,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
67,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
