MATERIAL_ID,0,5,8,16,27,28,30,32,34,37,40,43,46
10,SHELL FABRICS,,,,,,,,,,,,
11,SCK 2265 ICE CAFÉ,TBA,"shell fabric at hood, front and back body, sleeves, collar, rolled hem and cuffs",,1,,TBA,,ocean,black,neon lime,navy,added hood 3/16/2015
12,SCK 2265 ICE CAFÉ,TBA,shell fabric at underarm gussets,,2,,TBA,,ocean,black,neon lime,navy,
15,contrast coverstitching,NS THREAD,NS thread,"armhole, underarm gussets, side seams",,,,,navy,black,ebony,navy,
17,ZIPPERS,,,,,,,,,,,,
18,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",cf half zipper,,1,,0,navy,ebony,neon lime,orange,deleted 3/16/2015
21,PLEASE SOURCE,TBA,lace,hood adjustment,,,TBA,,navy,dark grey,dark grey,orange  ,added 3/16/2015
22,thread eyelet,COATS,sewn thread eyelets,hood adjustment,,2,,,ocean,black,neon lime,navy,added 3/16/2015
25,HT-03,TBA,heat transfer,upper CB centered,,1,TBA,,navy,neon lime,ebony,orange,
28,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb neck          ,,1,TBA,,x,x,x,x,
29,self fabric locker loop,TBA,self fabric locker loop use shell #1,locker loop,,1,TBA,0,ocean,black,neon lime,navy,
30,TBA,PLEASE SOURCE,perforated care content label ,left side seam,,1,TBA,,white,white,white,white,
