,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9,10
0,3,insulation,,,Insulation:,60gm insulation at main body hood sleeves,,Collection: Glacier Series,,,,,
1,9,interfacing,,MATERIAL/TRIM,DESCRIPTION,LOCATION,QTY,TBD,TBD,TBD,TBD,TBD,TBD
2,10,fabric,,,,,FABRICS & LININGS,,,,,,
3,11,fabric,A,Shell Fabric,SOND035-2L1-H 100%Nylon 10k/8k DWR+BREATHABLE COATING (supplied by Li Peng),"Main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",,TBD,TBD,TBD,,,
4,12,fabric,B,Shell Fabric,SOTP069-C1-H 100% Polyester 15K/10K DWR+BREATHABLE COATING (supplied by SOLIS),"Main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",,,,,TBD,TBD,TBD
5,13,interfacing,C,Lining,210 T Taffeta (Supplied by Li Peng),"Powder skirt, pocket bag",,TBD,TBD,TBD,TBD,TBD,TBD
6,14,interfacing,D,Other , Velvety Tricot - item# BB47-6B,"Inside lining, comfort chin guard, inner front pocket bag panel",,TBD,TBD,TBD,TBD,TBD,TBD
7,15,interfacing,E,Other,100% poly MESH - item# CB-46-2B,"vents, large internal goggle pocket",,TBD,TBD,TBD,TBD,TBD,TBD
8,16,interfacing,F,Other,nylon/elastic lycra - item# DC-9A,"powder skirt, hood drawcord tunnel",,TBD,TBD,TBD,TBD,TBD,TBD
9,17,other,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
10,18,other,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
11,19,interfacing,I,Other,Clear PVC,Pass pocket window opening at outside of powder skirt,,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
12,20,insulation,J,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
