,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,fabric,,INSULATION: ,,NON INSULATED,,TARGET FOB: ,68.0
1,15,fabric,NON INSULATED,,,,NON INSULATED,,
2,21,interfacing,"HOOD BRIM, CF PLACKET, CUFF TABS, POCKET FLAPS AND OPENINGS, BACK HOOD FLAP",GLUE FILM,SEALON / ,,YES,,
3,24,fabric,"HOOD,  SLEEVES, CHEST AND ARM POCKET BAG",SOLID 210D,SOLIS / REF NUMBER,,,,
4,25,fabric,FRONT AND BACK PANELS,PRINTED 210T,SOLIS / REF NUMBER,,,,
5,26,fabric,LOWER BODY & POWDER SKIRT ,SOLID COATED 210D,SOLIS / REF NUMBER,,,,
6,27,fabric,CHIN,RENTEX,SOLIS / REF NUMBER,,,,
7,28,fabric,UNDERAM VENTS,REGULAR MESH,SOLIS / REF NUMBER,,,,
8,29,fabric,GOGGLE POCKET,POWER STRETCH MESH,SOLIS / REF NUMBER,,,,
9,30,fabric,HAND POCKET LINING,BRUSHED TRICOT,,,,,
10,31,fabric,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,,,
