,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,,
1,10,fabric,"20K/20K 3Layer
printable tricot on inside
",LUCKY / 20K/20K LTC32509-R5-H474 3L /  C6 DWR 80/10,A,100% POLYESTER,BLACK,SILT,WALNUT,DUSTY GREEN
2,13,fabric,NON INSULATED,,,,,,,
3,19,fabric,,3 LAYER NOT LINED,CHEST POCKET BAGS,,,,,
4,20,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,POWDER SKIRT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
5,21,fabric,BRUSHED TRICOT,3 LAYER NOT LINED, HAND POCKET BAGS,,,,,
6,22,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
7,23,other,"20K/20K 3Layer
printabel at inside, waiting for price with print

",LUCKY / LTC32509-R5-H474 3L ,MEDIA POCKET,,BLACK,SILT,WALNUT,DUSTY GREEN
8,24,fabric,POWER STRETCH MESH ,SUPPLIER / REF CODE,"UNDERARM VENTS, BREATHING VENTS",100% POLYESTER,BLACK,BLACK,BLACK,BLACK
9,25,fabric,POWER STRETCH MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
10,26,other,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,BLACK,BLACK,BLACK,BLACK
