,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,9,zipper,CENTER FRONT,#5 VISLON,YKK ZA/DAG SNAP ON // 2-WAY SEPERATING AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
1,10,zipper,UNDERARMS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK (ZIP UP TO CLOSE) ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
2,11,zipper,SIDE ENTRY HAND POCKETS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
3,12,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / BLACK TAPE
4,15,other,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER 
5,16,other,UNDERARMS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
6,17,other,SIDE ENTRY HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
7,18,other,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING
8,21,other,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
9,23,other,FRONT PLACKET AND POCKET FLAPS,L1 SNAP,LUKS / L1-2016-TRIM-001,8,PSEUDO ANTI SILVER
10,24,other,RIGHT HAND POCKET,L1 NEW PATCH,LUKS / NEW TRIM ,1,TBD
11,27,other,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK
12,28,other,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK
13,29,other,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK
14,32,other,BACK HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,TBD
15,33,other,BACK HOOD CORD LOCK TIP,CORD TIP,KNK / CS-074,1 PER SIDE = 2,TBD
16,34,other,FRONT HOOD CORD LOCKS,CORD LOCK,KNK / SP-204,1 PER SIDE = 2,TBD
17,35,other,HEM CORD LOCKS,CORD LOCK,KNK /  SP-058,1 PER SIDE = 2,TBD
18,36,other,POCKET CORD TIP,CORD LOCK,KNK / CS-1,1 PER SIDE = 2,TBD
19,39,other,BACK HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
20,40,other,FRONT HOOD ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
21,41,other,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
22,42,other,HEM ADJUST CORD EXIT IN LINING POCKET,GROMMET  8mm diameter,PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
23,45,other,HOOD & HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,
24,48,other,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK
25,49,other,HEM & HOOD CORD LOCK TIE DOWNS,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,5,BLACK
26,50,other,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK
27,51,other,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK
28,52,other,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X 3 1/4"" FLAT WEBBING",SUPPLER / REF NUBER,1,BLACK
29,55,other,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,STOCK
30,56,other,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK
31,57,other,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK
32,58,other,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,BLACK
33,59,other,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4""",SUPPLER / REF NUBER,1,BLACK
34,62,other,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING
35,63,other,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING
36,64,other,CF PLACKET,1.3 cm X 7.5cm,PAIHO / HookETN7 / Loop#1057,4 SETS,MATCHING
37,65,other,HAND & CHEST POCKET FLAPS,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,2 SETS  PER POCKET FLAP,MATCHING
38,69,other,TOPSTITCH,,,,MATCHING
39,70,other,BARTACKS,,,,MATCHING
40,71,other,SLEEVE GAITER COVER STITCH,,,,MATCHING
41,74,other,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG
