,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6
0,6,insulation,INSULATION:,,PINNECO MANTLE 80G ALL OVER,,,TARGET FOB:,
1,10,fabric,MICRO TWILL,"SOLIS / SOTT023-2L2-I MICRO TWILL 10K/10K
",A,,BLACK,MILITARY,WALNUT
2,11,insulation,RIBBING,LEADER COLLAR/ AS LAST YEAR PRODUCTION,SLEEVE CUFFS,,BLACK,MILITARY,WALNUT
3,14,insulation,POLYFILL INSULATION ,PINNECO MANTLE 80G ,ALL OVER,100% POLYESTER,PINNECO MANTLE 80G ,PINNECO MANTLE 80G ,PINNECO MANTLE 80G 
4,20,fabric,BLANKET LINING,SOLIS / SOTY066-D BLANKET LINING / BRUSH / NO DWR,HOOD,,BLANKET LINING,BLANKET LINING,BLANKET LINING
5,21,fabric,BLANKET LINING,SOLIS / SOTY066-D BLANKET LINING / BRUSH / NO DWR,MAIN BODY,,BLANKET LINING,BLANKET LINING,BLANKET LINING
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK
7,23,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVE POCKET BAG,100% NYLON,BLACK,BLACK,BLACK
8,24,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,BLACK,BLACK,BLACK
9,25,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK
10,26,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK
11,27,fabric,REGULAR MESH,1606B02 (ALS-16038),UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK
12,28,fabric,REGULAR MESH,1606B02 (ALS-16038),GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK
13,29,fabric,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,BLACK,BLACK,BLACK
