,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,insulation,,INSULATION: ,,"60G Body, 40g Hood and Sleeves ""CS"" POLYFILL ",,TARGET FOB: ,47.0
1,11,fabric,A,OXFORD NO WASHOUT 5k/5k COATING + C6 DWR 80/10 $4.00,SOLIS L2-584,100% POLY,,,
2,12,fabric,B,BROKEN TWILL 5K/5K HYDROPHILIC COATING C6 DWR 80/10,SOLIS WL248,100% POLY,,,
3,15,insulation,"40G ""CS"" POLYFILL HOOD AND SLEEVES",,POLYFILL,,"40G ""CS"" POLYFILL HOOD AND SLEEVES",,
4,16,insulation,"60G ""CS"" POLYFILL BODY",,POLYFILL,,"60G ""CS"" POLYFILL BODY",,
5,22,fabric,"HOOD,  SLEEVES, FRONT PANELS, POCKET BAGS",SOLID 210D,SOLIS / REF NUMBER,,,,
6,23,fabric,BACK PANEL,PRINTED 210T,SOLIS / REF NUMBER,,,,
7,24,fabric,LOWER BODY & POWDER SKIRT ,SOLID COATED 210D,SOLIS / REF NUMBER,,,,
8,25,fabric,CHIN,BRUSHED TRICOT,SOLIS / REF NUMBER,,,,
9,26,fabric,GOGGLE POCKET & UNDERAM VENTS,REGULAR MESH,SOLIS / REF NUMBER,,,,
10,27,fabric,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,,,
