,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6
0,6,insulation,INSULATION:,,150G PINNECO CORE,,,TARGET FOB:,
1,10,fabric,MICRO RIPSTOP,SOLIS / SOTL120-PU01 MICRO RIP 2L DOT LAM 10K/10K / C6 + DWR,A,,SILT,WALNUT,BLACK
2,13,insulation,POLYFILL INSULATION ,PINNECO CORE 150G,ALL OVER,100% POLYESTER,PINNECO CORE 150G,PINNECO CORE 150G,PINNECO CORE 150G
3,19,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,BLACK,BLACK,BLACK
4,20,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,BLACK,BLACK,BLACK
5,21,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,CHEST POCKET BAG,100% NYLON,BLACK,BLACK,BLACK
7,23,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,BLACK,BLACK,BLACK
8,24,fabric,BRUSHED TRICOT,SOLIS / BRUSHED TRICOT,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK
9,25,fabric,BRUSHED TRICOT,SOLIS / BRUSHED TRICOT,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK
10,26,fabric,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,BLACK,BLACK,BLACK
