,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,9,other,CENTER FRONT,#5 METAL, ZA SNAP-ON TYPE (YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
1,10,zipper,LEFT ARM POCKET,#5 METAL,DADHR DIECAST WIRE (NON YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
2,13,other,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,PSUDO ANTI SILVER,PSUDO ANTI SILVER
3,16,other,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
4,18,other,HAND POCKET FLAPS,L1 METAL SNAP,LUKS / L1-2016-TRIM-001,2,PSUDO ANTI SILVER,PSUDO ANTI SILVER
5,21,other,HEM DRAWCORD,ROUND DRWACORD WITH CLEAR PLASTIC TIP,,1,BLACK,MILITARY
6,22,other,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
7,25,other,INNER POCKET CLOSURE,"1/2"" X 6""",,1,BLACK,MILITARY
8,30,other,BARTACKS,,,,MATCHING,MATCHING
9,33,other,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
10,34,other,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,5K/5K // CRITICALLY TAPED ,1,5K/5K // CRITICALLY TAPED ,
11,35,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
12,36,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
13,37,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
14,38,other,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
