,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
0,6,fabric,INSULATION:,,SHELL WITH REVERSE TRICOT SEAT,,,TARGET FOB:,,48,,
1,11,other,FAUX LEATHER,SUPPLER? CAN YOU SOURCE. SAME QUALITY AS OTHER FAUX LEATHER TRIMS,BACK RIGHT BELT LOOP,,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,,
2,14,fabric,NON INSULATED,,,,,,,,,
3,21,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,BLACK,BLACK,BLACK,BLACK,,
4,22,fabric,REVERSE BRUSHED TRICOT,SUPPLIER / REF CODE,SEAT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,,
5,23,fabric,SOLID 210T ,SOLIS / SONP006-1,SECONDARY POCKET BAGS,100% NYLON,BLACK,BLACK,BLACK,BLACK,,
6,24,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER LEG & GAITER,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,,
7,25,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,"WAISTBAND, FLY, HAND POCKET BAGS",100% POLYESTER,BLACK,BLACK,BLACK,BLACK,,
8,26,fabric,POWER STRETCH MESH,SUPPLIER / REF CODE,LEG VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,,
9,28,other,LOWER LEG LINING PRINT (SEE PDF),SUPPLIER/ REFERENCE NUMBER,LOCATION ,CONTENT,BLACK,DUSTY GREEN,SILT,WALNUT,0.0,0.0
10,29,other,ON COATED 210T,PLEASE SOURCE ,LOWER LEG FRONT AND BACK,,PANTONE 18-0950 TCX HARVEST SCREEN PRINT,PANTONE 18-0403 TCX GUNMETAL,PANTONE 18-0403 TCX GUNMETAL,PANTONE 18-0950 TCX HARVEST SCREEN PRINT,,
