,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:
1,10,fabric,,"Hyperbola / SC670-6 3L micro-rip, w/printed tricot","""S""",,,
2,15,fabric,NON INSULATED,,,,,
3,21,fabric,NOT LINED,,HOOD,,,
4,22,fabric,NOT LINED,,MAIN BODY,,,
5,23,fabric,NOT LINED,,SLEEVES,,,
6,24,fabric,SHELL,,SECONDARY POCKET BAGS,,,
7,25,fabric,NOT LINED,,LOWER BODY,,,
8,26,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,POWDER SKIRT,100% NYLON,COLOR,
9,27,fabric,SHELL,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
10,28,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
11,29,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
12,30,fabric,POWER STRETCH MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
13,31,fabric,POWER STRETCH MESH,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
14,32,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
15,33,fabric,SOLID 210T ,SOLIS / SONP006-1,UPPER OF SLEEVE GAITER,CONTENT,COLOR,
