,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,0.0
1,9,zipper, #5 COIL ZIPPER,YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
2,10,zipper,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
3,11,zipper,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
4,12,zipper,#3 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK /  1-WAY DFW SHORT NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
5,13,zipper, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
6,14,zipper, #3 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
7,17,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT 1 TOP PULL ONLY,1,COLOR,,
8,18,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SLEEVE POCKET,1,COLOR,,
9,19,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,UNDERARM VENTS,1 PER SIDE = 2,COLOR,,
10,20,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,COLOR,,
11,21,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,LINING POCKET VERTICAL,1,COLOR,,
12,24,other,NITRO TRIM NUMBER //  METAL SNAP,XXX,CHIN,1,COLOR,,
13,25,other,NITRO TRIM NUMBER //  METAL SNAP,,"HEM, CHEST POCKET FLAP, HAND POCKET FLAPS",3,,,
