,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,0.0
1,9,zipper,"#5 YKK, 5VT9, 
VISLONÂ® AquaGuardÂ® matte film",YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
2,10,zipper,"#3 YKK, 3VT9, 
VISLONÂ® AquaGuardÂ® matte film",NON YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
3,11,zipper,"#3 YKK, 3VT9, 
VISLONÂ® AquaGuardÂ® matte film",NON YKK /  1-WAY DFW SHORT NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
4,12,zipper, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,SIDE ENTRY ZIPPERS,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
5,13,zipper, #5 COIL ZIPPER,NON YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
6,16,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT 1 TOP PULL ONLY,1,COLOR,,
7,17,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET VERTICAL,1,COLOR,,
8,18,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SLEEVE POCKET,1,COLOR,,
9,19,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY ZIPPERS,1 PER SIDE = 2,COLOR,,
10,20,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
11,23,other,NITRO TRIM NUMBER //  METAL SNAP,XXX,CHIN,1,COLOR,,
12,24,other,NITRO METAL SNAPS,,HAND POCKET FLAPS,1 PER SIDE = 2,COLOR,,
13,29,other,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
14,30,other,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
15,31,other,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
16,32,other,METAL EYELETS 11MM ,LUK'S / ET89,BACK HOOD ADJUST,1,METAL COLOR,,
17,33,other,CORD LOCK,,BACK HOOD ADJUST,1,COLOR,,
18,34,other,BEAD,,BACK HOOD ADJUST,1,COLOR,,
19,35,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
20,38,other,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
21,39,other,"GROSGRAIN 3/8""",XXX,ATTACH BACK HOOD CORD LOCK,1,COLOR,,
22,40,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
23,41,other,"ELASTIC  1""",XXX,ENCASED IN BACK OF SLEEVE CUFFS,1 PER SIDE = 2,COLOR,,
24,42,other,SHOCKCORD,XXX,HOOD,1,COLOR,,
25,43,other,ELASTINE,XXX,LINING MEDIA POCKET CORD EXIT - WELTS,,,,
26,46,other,"1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 on placket PAIHO / HookETN7 on body,HAND POCKET FLAPS,2 PER SIDE = 4,MATCH TO SHELL,,
27,47,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
28,48,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
29,52,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
30,53,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
31,56,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
32,60,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
33,65,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
34,66,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
35,67,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
