,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,insulation,INSULATION:,,100G PINNECO CORE ,,,TARGET FOB:,0.0
1,9,zipper,#5 VISLON ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
2,10,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
3,11,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 2-WAY BOTTOM LOCKING,SIDE ENTRY (RIGHT),1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
4,12,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
5,15,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
6,16,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET VERTICAL,1,COLOR,,
7,17,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY (RIGHT),2,COLOR,,
8,18,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
9,21,other,NITRO FAUX SUEDE PATCH/ N19-TRIM002,CHUN WO HO/ M1494817,FRONT LEFT HEM,1,COLOR,,
10,22,other,"Nitro Embossed 
Petersham Logo binding tape","CHUN WO HO
E1342816 20MM",HOOD AND SLEEVE HEMS,3,COLOR,,
11,27,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (LEFT SIDE),2,COLOR,,
12,28,other,CORD LOCK,,HEM ADJUST (LEFT SIDE),1,COLOR,,
13,29,other,BEAD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
14,33,other,"GROSGRAIN 3/8""",,HEM ADJUST (LEFT SIDE),1,COLOR,,
15,34,other,SHOCKCORD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
16,43,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
17,44,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
18,47,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
19,51,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
20,55,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
21,56,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
22,57,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
