,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,9,zipper, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,FLY,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
1,10,zipper,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
2,11,zipper, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,BACK POCKETS HORIZONTAL ,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
3,12,zipper, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
4,13,zipper,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),"YKK DFW/DFW NON LOCK // 2-WAY  CLOSED END SEPARATING,  SLIDERS CLOSE UP AND DOWN, TOP IS OPEN END, BOTTOM IS CLOSED",SIDE ENTRY,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
5,14,zipper, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,HEM GUSSET ,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
6,17,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKET ZIPPERS,1 PER SIDE = 2,COLOR
7,18,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,BACK POCKETS HORIZONTAL ,1 PER SIDE = 2,COLOR
8,19,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR
9,20,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY ZIPPERS,2 PER SIDE = 4,COLOR
10,23,other,NITRO TRIM NUMBER 11NT-033 / LOGO METAL GROMMET,LUKS/ ET07-N0711,FRONT LEFT BELT LOOP,1,COLOR
11,24,other,NITRO TRIM NUMBER (?)/ NITRO EMBOSSED SUSPENDER ELASTIC,CHUN WO HO / E1343016 38mm,SHOULDER STRAPS,1 PER SIDE= 2,COLOR
12,25,other,HEAT TRANSFER,SEALON/,BACK LEFT LEG,1,COLOR
13,26,other,NITRO TRIM NUMBER N18-TRIM-020 / NITRO GRIPPER ELASTIC,CHUN WO HO/ E1337216 25mm,GAITER HEMS,2,COLOR
14,29,other,15MM METAL SNAP,XXX,"""VILLAGE HEM"" LEG SNAPS",1 PER SIDE = 2,CAP AND BASE COLOR
15,30,other,BOOT HOOK,XXX,FRONT GAITER,1 PER SIDE = 2,METAL COLOR
16,31,other,KEYCLIP,XXX,RIGHT HAND POCKET,1,BLACK
17,32,other,CLIP,"DURAFLEX/
Simplex buckle (38MM) 11-90298-000000
11-90299-000000",BUCKLE ON SUSPENDER ELASTIC STRAPS,1 PER SIDE = 2,BLACK
