,MATERIAL_ID,CATEGORY,0,1,2,3,4,6,7,10,11
0,12,fabric,1,3 Layer Main Material,SONE 108-3L04-D,SOLIS,"all parts except back middle part and hood middle piece, inner storm flap at center front, bonded, sleeve adjustment bonded (A)",,,SCARLET RED 19-1760 TCX,BLACK
1,13,fabric,,3 Layer Main Material ,,SOLIS,middle insert on back part body and hood (B),,,DRESS BLUE 19-4024 TCX,AURORA 12-0642 TCX
2,16,fabric,2,brushed lining,BENBUG 175G,WOOJU TEXTILE,"inside collar, inner storm-flap top part, inside chest pocket, side pocket bags",,,IRON GATE 19-3910 TCX,IRON GATE 19-3910 TCX
3,17,fabric,3,Lining for Sleeve pocket,N/T210T NO COATING P/D CIRE,"G&H INTERNATIONAL CO.,LTD",sleeve (ski pass)pocket bag,,,IRON GATE 19-3910 TCX,IRON GATE 19-3910 TCX
4,18,fabric,4,Lycra Material,SPANDEX FULLDULL TWOWAY (280G),DONG HWA IND CO.LTD,tiecord tunnel at hood,,,BLACK,BLACK
5,20,other,,VELCRO,,,,,,,
6,21,other,5,loops,25M/M,DG DONG DAE,"velcro cuff adjustment on sleeve, exact shape see detail sketch",2.0,,BLACK,BLACK
7,22,other,6,hooks,25M/M,DG DONG DAE,"velcro cuff adjustment on sleeve, exact shape see detail sketch",2.0,,BLACK,BLACK
8,24,other,,TAPES,,,,,,,
9,25,fabric,7,Seam Tape ,S30908-BLK921F131,Solis,all seams,,,match to Solis fabric backing,match to Solis fabric backing
10,26,interfacing,7-1,hotmelt/welding film,HOT MELT FILM (AM-120S),HIMEL - KIDO,"cuff flap, wind flap, hem, hood front, front collar facing, earphone loop patch, inner pkt, side pkt, sleeve pkt",,,,
11,29,other,8,"Tab Logo, Version Up to sit on top of the seam","H LA 013, Head Logo Lasercut Hipster Tape",Clotex,"on right shoulder at back part, on left sleeve on front part above elbow",2.0,"0,11$","Version B :                  
Silver C-407 - Print black","Version B :                  
Silver C-407 - Print black"
12,30,other,9,Rivet,H-MP 011 DB 0692-0,Dragon Times,"front right side 2,5cm to side seam and 2,5cm from bottom hem",1.0,"0,10$",gloss silver DB 0692-0,gloss silver DB 0692-0
13,32,label,,LABEL,,,,,,,
14,33,label,11,care and content label,H- AW 131,Clotex,left side seam,1.0,,WHITE,WHITE
15,34,other,12,Compact HT  WH/OR,H-AW 123,Avery Dennison,inside jacket ,1.0,,anthrazite,anthrazite
16,36,zipper,,ZIPPER,,,,,,,
17,37,zipper,13,#5 YKK Coil reversed T8 shiny,T8 shiny,YKK,Center front zipper,1.0,,"SCARLET RED 19-1760 TCX 
YKK 519","BLACK 
YKK 580"
18,38,zipper,,Slider open right side,DA8BLH,YKK,front zipper,1.0,,"SCARLET RED 19-1760 TCX 
YKK 519","BLACK 
YKK 580"
19,39,zipper,14,#3 YKK Coil reversed ,#3 ,YKK,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",5.0,,"SCARLET RED 19-1760 TCX 
YKK 519","BLACK 
YKK 580"
20,40,zipper,,Slider,DAV3LH,YKK,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",5.0,,C5 silver,C5 silver
21,41,zipper,15,#3 YKK Coil reversed ,#3 CC,YKK,1x inner pocket,1.0,,"IRON GATE 19-3910 TCX 
YKK 182","IRON GATE 19-3910 TCX 
YKK 182"
22,42,zipper,,Slider,DAV3LH,YKK,1x inner pocket,1.0,,"IRON GATE 19-3910 TCX 
YKK 182","IRON GATE 19-3910 TCX 
YKK 182"
23,44,zipper,,ZIP PULLER,,,,,,,
24,45,zipper,16,Head Zipper Puller with loop,H-ZP007 DB 0752-0,Dragon Times,"1x center front zip, 2x hand pocket zips",3.0,"0,16$",gloss silver DB 0752-0,gloss silver DB 0752-0
25,46,zipper,17,Head Zipper Puller with  Rope ,H-EL 025,Dragon Times,"2xventilation zips, 1x ski pass pocket",3.0,,BLACK,BLACK
26,49,other,hood:,back side,,,,,,,
27,50,other,18,"DRAW CORD 2,5MM",ELASTIC NYLON STRING,DG.IN DAL,hood at back side,,,BLACK,BLACK
28,51,other,19,grosgrain tape,GOL TAPE 10M/M,DG.IN DAL,to attach stopper at lower and upper end,,,BLACK,BLACK
29,52,other,20,cord stopper A,PL STOPPER DGHS-324,DONG GWANG SA INDUSTRY,hood back side,1.0,,BLACK,BLACK
