,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
0,3,insulation,,,Insulation:,100gm in the body hood sleeves,,Collection: Freedom,,,,
1,10,fabric,,,,,FABRICS & LININGS,,,,,
2,11,fabric,A,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,VINTAGE BLACK,,BLACK,DARK NAVY,AB18MJ1_032
3,12,fabric,B,Shell Fabric,SOTD109-PR01-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,,DINOFLAGE,,,AB18MJ1_032
4,13,fabric,C,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"Sleeves, hood",,BLACK,BLACK,OXBLOOD,CAMEL,AB18MJ1_032
5,14,fabric,D,Lining,210T-E EMB07 Tery Emboss  Taffeta(Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
6,15,fabric,E,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
7,16,fabric,F,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
8,17,fabric,G,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
9,18,insulation,H,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
10,19,other,I,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
11,20,other,J,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
12,21,insulation,K,Other,100gm Insulation,"Main body, hood, sleeves",,,,,,AB18MJ1_032
13,22,interfacing,L,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032
14,23,interfacing,M,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032
15,25,other,L,,,,ZIPPERS,,,,,AB18MJ1_032
16,26,zipper,AA,Zipper,"YKK No.8 Vislon 2 way  zipper.  Auto-lock slider DA8LH, Silders bottom to bottom   (Right hand pull left hand insert)",C.F.,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032
17,27,zipper,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032
18,28,zipper,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032
19,29,zipper,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032
