,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,60G PINNECO MANTLE INSULATION ALL OVER,,,TARGET FOB:,,0
1,9,other, #5 METAL ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL/ TEETH COLOR:H6 ANTIQUE SILVER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK
2,10,zipper, #5 METAL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,RIGHT CHEST POCKET VERTICAL,1,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-4010 TCX INK,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-0515 TCX MILITARY,SILDER/PULL/ TEETH COLOR:H6 ANTIQUE SILVER/ ZIPPER TAPE COLOR: 19-1540 TCX RUST,SILDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-4006 TCX BLACK
3,11,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK
4,12,zipper, #5 COIL ZIPPER  (SPECIAL HERRINGBONE TAPE),NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: 19-4010 TCX INK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: 19-0515 TCX MILITARY,SILDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE/ TEETH COLOR: 19-1540 TCX RUST,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: 19-4006 TCX BLACK
5,13,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK
6,14,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK
7,17,zipper,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,YKK H6 ANTIQUE SILVER,YKK X ANTIQUE COPPER
8,18,other,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather ,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,RIGHT CHEST POCKET (1) HAND POCKETS (4),5,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER
9,19,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDERARM VENTS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
10,20,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
11,23,other,"L1-2018-TRIM-010
Faux Leather backed Snap",LUKS,"CF PLACKET (4), POCKET FLAPS (4)",8,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER,SAS54 PSEUDO ANTI SILVER/BROWN FAUX LEATHER,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER
12,24,other,"L1-2018-TRIM-004
Brown faux leather hem wrap",PLEASE SOURCE SUPPLIER,LEFT CHEST POCKET FLAP,1,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER
13,25,other,"L1-2018-TRIM-003
Faux Leather patch ",PLEASE SOURCE SUPPLIER,RIGHT HAND POCKET,1,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER
14,26,other,"L1-2018-TRIM-024/  L1 EMBROIDERY SMALL
3cm x 2.77cm  ",SOLUNA,LEFT SLEEVE HEM,1,MATCHING,MATCHING,MATCHING,MATCHING
15,30,interfacing,15MM METAL SNAP ,LUKS / 404,POWDER SKIRT - FRONT CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
16,31,interfacing,15MM METAL SNAP ,LUKS / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
17,32,interfacing,15MM METAL SNAP ,LUKS / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
18,33,other,METAL EYELETS 8MM ,LUKS / ET04,HOOD CORD EXIT FRONT,1 PER SIDE = 2 ,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
19,34,other,METAL EYELETS 8MM ,LUKS / ET04,HEM CORD EXIT,2 PER SIDE = 4 ,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
20,35,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,19-4010 TCX INK,19-0515 TCX MILITARY,19-1540 TCX RUST,19-4006 TCX BLACK
21,38,other,METAL DRAWCORD TIP,SEE PHOTO,HOOD SHOCKCORD TIPS,1 PER SIDE = 2,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
22,39,other,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
