,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,fabric,INSULATION:,,40G PINNECO MANTLE ,,,TARGET FOB:,,0
1,10,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK
2,13,other,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1 TOP PULL ONLY,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES
3,14,other,"L1-2018-TRIM-018
Non branded zipper pull. Faux Leather",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,HAND POCKETS VERTICAL,1 PER SIDE = 2,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
4,17,other,"L1-2018-TRIM-011
Half Deboss Snap",LUK'S / ,CHEST POCKET FLAP,1,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
5,18,label,"L1-2018-TRIM-001
""Freedom In Versatility"" 
Woven Label",CHUN WO HO / ,CHEST POCKET,1,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL
6,19,other,"L1-2018-TRIM-005
Black faux leather hem wrap",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,RIGHT HAND POCKET WELT,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
7,20,other,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL",SOLUNA,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
8,24,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
9,25,other,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
