,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,0.0
1,9,zipper, #5 COIL ZIPPER,YKK / 5 DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1.0,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
2,12,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1.0,COLOR,,
3,19,other,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2.0,COLOR,,
4,20,other,CORD LOCK,,HOOD ADJUST,1.0,COLOR,,
5,21,other,BEAD,,HOOD ADJUST,1.0,COLOR,,
6,22,other,15MM SNAP ,LUK'S / 404,SIDE ENTRY,8.0,COLOR,,
7,25,other,SHOCKCORD,XXX,HOOD,1.0,COLOR,,
8,34,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,,
9,35,other,BARTACKS,,100/2,,MATCH TO SHELL,,
10,38,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1.0,,,
11,42,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1.0,,,
12,47,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
13,48,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
14,49,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
