,MATERIAL_ID,,,,position,,color_way,color_way,color_way,color_way,CATEGORY
0,6.0,6.0,INSULATION:,,NON INSULATED,,,TARGET FOB:,,0,
1,9.0,9.0, #5 REVERSE COIL MATTE WATER RESISTANT,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,
2,10.0,10.0, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKETS VERTICAL,2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,
3,11.0,11.0, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,
4,12.0,12.0, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,
5,13.0,13.0, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,
6,14.0,14.0, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,
7,17.0,17.0,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,X6 BLACK OXIDES ,X6 BLACK OXIDES ,X6 BLACK OXIDES ,X6 BLACK OXIDES ,
8,18.0,18.0,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather ,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKETS (2) HAND POCKETS (2) SLEEVE POCKET (1),5,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
9,19.0,19.0, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDER ARM VENTS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
