,,MATERIAL_ID,CATEGORY,position,,,,color_way,
0,0.0,0.0,other,,L1 JACKET,,,,
1,1.0,9.0,zipper,CENTER FRONT,#5 VISLON,ZA SNAP ON (YKK),1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
2,2.0,10.0,zipper,CHEST LEFT,#5 METAL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER & TEETH: H3 PSUDO ANTI SILVER // TAPE: DTM,
3,3.0,11.0,other,HAND POCKETS,VELCRO TO CLOSE,,,,
4,4.0,12.0,zipper,PIT ZIPS,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
5,5.0,13.0,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
6,6.0,16.0,other,CF,L1-2016-TRIM-009 ORDER FROM LUKS,TOP PULL ONLY,1,PSUDO ANTI SILVER ,
7,7.0,17.0,other,PIT ZIPS,11NT-045 SELF FABRIC PULL,,1 PER = 2,"BODY ""A"" ",
8,8.0,18.0,other,INSIDE POCKET,11NT-045 SELF FABRIC PULL,,1,"BODY ""A"" ",
9,9.0,21.0,other,HEM,KNK,SP-177,1 PER SIDE = 2,BLACK,
10,10.0,22.0,other,HEM CORD TIPS,KNK,CS-074,1 PER SIDE = 2,BLACK,
11,11.0,25.0,other,HEM,3MM STRETCH SHOCKCORD,,,BLACK,
12,12.0,28.0,other,HOOD,WIDE CORD AS ON SAMPLE,,,12-0105 TPX OFF WHITE,
13,13.0,31.0,other,LINING FACING CABLE GUIDE,"1/4"" FLAT",,,BLACK,
14,14.0,32.0,other,GOGGLE POCKET,ELASTINE BINDING,,,BLACK,
15,15.0,33.0,other,POW ,22mm FLAT GRIPPER ELASTIC,,,BLACK,
16,16.0,36.0,other,CF POW CLOSURE,24L ,METAL,LEFT SIDE = 2 FEMALE // RIGHT SIDE = 4 MALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
17,17.0,37.0,other,POW SKIRT GRIPPER ELASTIC,24L ,METAL,3 FEMALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
18,18.0,40.0,other,HOOD ,LARGE METAL EYELET,AS SAMPLE,1 PER SIDE = 2,PSUDO ANTI SILVER ,
19,19.0,41.0,other,HEM,SMALL EYELET,AS SAMPLE,2 PER SIDE =4,PSUDO ANTI SILVER,
20,20.0,44.0,other,HEM ATTACH CORD LOCKS,"1/4"" FLAT",STOCK,,BLACK,
21,21.0,45.0,other,POW SKIRT GRIPPER ELASTIC REINFORCE SNAPS,"1"" TAB",STOCK,,BLACK,
22,22.0,46.0,other,KEYCLIP,"1/4"" FLAT, 1 1/2"" LOOP",STOCK,1,BLACK,
23,23.0,49.0,other,CHIN,"1/2"" X 1 1/2"" L",L1 QUALITY AS SAMPLE,1,MATCHING,
24,24.0,50.0,other,CF,"1/2"" X 3"" L",,3,MATCHING,
25,25.0,51.0,other,HAND POCKETS,"1/2"" X 1 3/4"" L",,2,MATCHING,
26,26.0,52.0,other,CUFF BODY,"1"" X 3 3/4""L",,1 PER SLEEVE = 2,MATCHING,
27,27.0,53.0,other,CUFF TAB,"1"" X 2 1/2""L",,1 PER SLEEVE = 2,MATCHING,
28,28.0,57.0,other,TOPSTITCH,,#606,TOPSTITCH THREAD,MATCHING,
29,29.0,58.0,other,BARTACKS,,,REGULAR THREAD,MATCHING,
30,30.0,61.0,other,"CHIN AND HEM, POCKET FLAPS",WORKING SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,5,PSUDO ANTI SILVER,
31,31.0,62.0,insulation,CF,CAP ONLY SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,2,PSUDO ANTI SILVER,
32,32.0,63.0,other,HOOD,RECTANGLE CORD LOCK,L1-2016-TRIM-017 ORDER FROM LUKS,2,BROWN,
33,33.0,64.0,other,LEFT CHEST POCKET,FAUX LEATHER HEM WRAP,L1-2016-TRIM-013 ORDER FROM LUKS,1,BROWN,
34,34.0,65.0,other,RIGHT HAND POCKET,"
L1 FAUX LEATHER PATCH",L1-2017-TRIM-101 ORDER FROM LUKS,1,BROWN,
35,35.0,66.0,other,FRONT LEFT SLEEVE,L1 EMBROIDERY SMALL,L1-2016-026,1,INK,
36,36.0,67.0,other,BACK RIGHT SHOULDER,L1 EMBROIDERY LARGE,L1-2016-027,1,INK,
37,37.0,68.0,other,KEYCLIP RIGHT HAND POCKET,NON LOGO STOCK,HK-001 ORDER FROM KNK,1,BLACK,
38,38.0,69.0,label,POWDER SKIRT WOVEN LABEL,CUT OFF LABEL,ORDER FROM LUKS,1,CUT OFF LABEL,
39,39.0,72.0,other,SHELL LEFT UNDERARM,HANGTAG,,1,,
40,40.0,73.0,label,LINING BACK NECK,SIZE LABEL,,1,,
41,41.0,74.0,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,,1,,SEW AS LOOPS
42,42.0,75.0,label,LINING LEFT SIDE SEAM,CONTENT LABEL,,1,,SEW AS LOOPS
43,43.0,76.0,label,LINING LEFT SIDE SEAM,WASHING LABEL,,1,,SEW AS LOOPS
