,,MATERIAL_ID,CATEGORY,position,,,,color_way
0,0.0,9.0,zipper,CENTER FRONT,#5 METAL,YKK ZA SNAP ON // 1-WAY SEPERATING AUTO LOCK ,1,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
1,1.0,10.0,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
2,2.0,13.0,other,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSUDO ANTI SILVER 
3,3.0,16.0,other,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
4,4.0,18.0,other,HAND AND CHEST POCKETS,L1 SNAP,LUKS / L1-2016-TRIM-001,3,PSUDO ANTI SILVER 
5,5.0,19.0,fabric,CHEST POCKET BAG,NEW PATCH,LUKS / NEW,1,BLACK 
6,6.0,22.0,other,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK
7,7.0,23.0,other,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK
8,8.0,24.0,other,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK
9,9.0,27.0,other,HEM CORD LOCKS,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,MATTE BLACK
10,10.0,28.0,other,HEM CORD TIPS,CORD TIP,KNK / CS-074,1 PER SIDE = 2,MATTE BLACK
11,11.0,31.0,other,HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSUDO ANTI SILVER 
12,12.0,32.0,other,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSUDO ANTI SILVER 
13,13.0,35.0,other,HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,
14,14.0,38.0,other,HOOD,"3/8"" BLACK WAXED SHOE LACE WITH CLEAR PLASTIC TIPS",SUPPLER / REF NUBER,,BLACK WAXED
15,15.0,41.0,other,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK
16,16.0,42.0,other,HEM CORD LOCK TIE DOWN,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,1 PER SIDE = 2,BLACK
17,17.0,43.0,other,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK
18,18.0,44.0,other,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK
19,19.0,45.0,other,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X 3 1/4"" FLAT WEBBING",SUPPLER / REF NUBER,1,BLACK
20,20.0,48.0,other,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,STOCK
21,21.0,49.0,other,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4""",SUPPLER / REF NUBER,1,BLACK
22,22.0,50.0,other,ENCASED IN BACK OF SLEEVE HEM,25mm,SUPPLER / REF NUBER,1 PER SIDE = 2,STOCK
23,23.0,51.0,other,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK
24,24.0,52.0,other,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK
25,25.0,55.0,other,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING
26,26.0,56.0,other,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING
27,27.0,60.0,other,TOPSTITCH,,#606,,MATCHING
28,28.0,61.0,other,BARTACKS,,,,MATCHING
29,29.0,62.0,other,SLEEVE GAITER COVER STITCH,,,,MATCHING
30,30.0,65.0,other,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG
31,31.0,66.0,label,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,
32,32.0,67.0,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
33,33.0,68.0,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL
34,34.0,69.0,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL
35,35.0,70.0,other,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE
