,,MATERIAL_ID,CATEGORY,position,,,,color_way,color_way
0,0.0,9.0,zipper,CENTER FRONT,#5 COIL, ZA SNAP-ON TYPE (YKK) 1-WAY SEMI AUTO LOCK,1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
1,1.0,10.0,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) 1-WAY (NON LOCKING),1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
2,2.0,13.0,other,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,ENAMEL DULL BLACK,ENAMEL DULL BLACK
3,3.0,16.0,other,HEM DRAWCORD,8mm ROUND WOVEN DRAWCORD WITH CLEAR PLASTIC TIP,SUNSUN / SV160218-1 A,1,DARK SLATE,RAVEN
4,4.0,17.0,other,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
5,5.0,20.0,other,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
6,6.0,21.0,other,CENTER FRONT & HAND POCKET WELTS,L1 METAL SNAP,LUKS / L1-2017-TRIM-001 L12017-TRIM-100,7,MATT BLACK FINISH,MATT BLACK FINISH
7,7.0,22.0,label,LEFT CHEST,SCREEN PRINT  (SEE PAGE 4 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 4 PDF),SCREEN PRINT  (SEE PAGE 4 PDF)
8,8.0,23.0,label,BACK ,SCREEN PRINT  (SEE PAGE 5 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 5 PDF),SCREEN PRINT  (SEE PAGE 5 PDF)
9,9.0,29.0,other,BARTACKS,,,,MATCHING,MATCHING
10,10.0,32.0,other,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
11,11.0,33.0,label,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,WP/ BREATHABILITY // RN CA / MADE IN CHINA,1,WP/ BREATHABILITY // RN CA / MADE IN CHINA,
12,12.0,34.0,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
13,13.0,35.0,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
14,14.0,36.0,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
15,15.0,37.0,other,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
