,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,
0,0.0,4.0,other,WATERPROOF/BREATHABILITY:,,DWR,,,BLOCK:,NEW
1,1.0,6.0,insulation,INSULATION:,,100G PINNECO MANTLE ALL OVER,,,TARGET FOB:,0
2,2.0,9.0,zipper, #5 VISLON ZIPPER,YKK / 1-WAY DADHR DIE CAST WIRE SEMI AUTO LOCK,CENTER FRONT,1,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
3,3.0,10.0,zipper, #5 VISLON ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET VERTICAL,1,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
4,4.0,11.0,zipper, #5 VISLON ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
5,5.0,14.0,other,SHOCK CORD ZIPPER PULL WITH SILICON DIPPED ENDS,CHUN WO HO / CW17-063 BLACK SHOCKCORD WITH RUBBER DIPPER ENDS - PLEASE SOURCE,"CENTER FRONT ZIPPER (1), CHEST POCKET ZIPPER (1) HAND POCKET ZIPPERS (2)",4,BLACK CORD WITH BOMBAY 18-1250 TCX RUBBER DIP,BLACK CORD WITH OXBLOOD 19-1725 TCX RUBBER DIP,
6,6.0,17.0,label,"L1-2018-TRIM-001
Woven label",PLEASE SOURCE,FRONT RIGHT HEM,1,WOVEN LABEL,WOVEN LABEL,
7,7.0,18.0,other,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,FRONT LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,
8,8.0,19.0,other,"L1-2018-TRIM-025
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",PLEASE SOURCE,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,
9,9.0,23.0,other,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D),AL023 ALLOY (D),
10,10.0,24.0,other,CORD LOCK,SUNSUN/ SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,BLACK,BLACK,
11,11.0,25.0,other,BEAD,SUNSUN/ SV160725-1A,HEM ADJUST,1 PER SIDE = 2,BLACK,BLACK,
12,12.0,28.0,other,BINDING,CHUN WO HO/ CW17-251 OR PLEASE SOURCE,SLEEVE HEMS,1 PER SIDE = 2,BLACK,BLACK,
13,13.0,29.0,other,"GROSGRAIN 3/8""",PLEASE SOURCE,ATTACH HEM CORD LOCKS,1 PER SIDE = 2,BLACK,BLACK,
14,14.0,37.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,
15,15.0,38.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,
16,16.0,41.0,label,DWR,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,DWR,DWR,
17,17.0,45.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
18,18.0,49.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,
19,19.0,50.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,
20,20.0,51.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,
