,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
0,0.0,6.0,fabric,INSULATION:,,SHELL WITH REVERSE TRICOT SEAT,,,TARGET FOB:,,48
1,1.0,9.0,other, #5 COIL ZIPPER,YKK / 1-WAY SEMI AUTO LOCKING DALH,FLY ,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK
2,2.0,10.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY NON LOCKING / DADHR DIECAST WIRE,HAND POCKETS,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK
3,3.0,11.0,zipper, #5 MATT WATER RESISTANT COIL,NON YKK / 1-WAY NON LOCKING / DADHR DIECAST WIRE,LEG POCKETS HORIZONTAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK
4,4.0,12.0,zipper, #5 MATT WATER RESISTANT COIL,NON YKK / 1-WAY NON LOCKING / DADHR DIECAST WIRE,BACK LEFT POCKET,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: MATTE BLACK
5,5.0,13.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY NON LOCKING / DADHR DIECAST WIRE,BACK RIGHT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK
6,6.0,14.0,other, #5 COIL ZIPPER,NON YKK / 2-WAY NON LOCKING / DADHR DIECAST WIRE (ZIP DOWN TO CLOSE),BALLS OUT VENTING,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK
7,7.0,15.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY NON LOCKING / DADHR DIECAST WIRE,HEM GUSSET ,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE &TEETH COLOR: BLACK
8,8.0,18.0,other,"L1-2018-TRIM-018
Non branded zipper pull. ","PLEASE SOURCE, SAME FAUX LEATHER QUALITY AS OTHER TRIMS","HAND POCKET ZIPPERS (2), LEG POCKET ZIPPERS (2), BACK POCKET ZIPPERS (2)",6,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
9,9.0,19.0,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,BALLS OUT VENTING,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
