,,MATERIAL_ID,fabric,fabric,fabric,fabric,fabric,color_way,fabric
0,0.0,6.0,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:
1,1.0,10.0,fabric,,"Hyperbola / SC670-6 3L micro-rip, w/printed tricot","""S""",,,
2,2.0,15.0,fabric,NON INSULATED,,,,,
3,3.0,21.0,fabric,NOT LINED,,HOOD,,,
4,4.0,22.0,fabric,NOT LINED,,MAIN BODY,,,
5,5.0,23.0,fabric,NOT LINED,,SLEEVES,,,
6,6.0,24.0,fabric,SHELL,,SECONDARY POCKET BAGS,,,
7,7.0,25.0,fabric,NOT LINED,,LOWER BODY,,,
8,8.0,26.0,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,POWDER SKIRT,100% NYLON,COLOR,
9,9.0,27.0,fabric,SHELL,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
10,10.0,28.0,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
11,11.0,29.0,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
12,12.0,30.0,fabric,POWER STRETCH MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
13,13.0,31.0,fabric,POWER STRETCH MESH,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
14,14.0,32.0,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
15,15.0,33.0,fabric,SOLID 210T ,SOLIS / SONP006-1,UPPER OF SLEEVE GAITER,CONTENT,COLOR,
