,,MATERIAL_ID,CATEGORY,,,position,,color_way,fabric,
0,0.0,6.0,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,0.0
1,1.0,9.0,zipper, #5 COIL ZIPPER,YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
2,2.0,10.0,zipper,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
3,3.0,11.0,zipper,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
4,4.0,12.0,zipper,#3 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK /  1-WAY DFW SHORT NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
5,5.0,13.0,zipper, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
6,6.0,14.0,zipper, #3 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
7,7.0,17.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT 1 TOP PULL ONLY,1,COLOR,,
8,8.0,18.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SLEEVE POCKET,1,COLOR,,
9,9.0,19.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,UNDERARM VENTS,1 PER SIDE = 2,COLOR,,
10,10.0,20.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,COLOR,,
11,11.0,21.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,LINING POCKET VERTICAL,1,COLOR,,
12,12.0,24.0,other,NITRO TRIM NUMBER //  METAL SNAP,XXX,CHIN,1,COLOR,,
13,13.0,25.0,other,NITRO TRIM NUMBER //  METAL SNAP,,"HEM, CHEST POCKET FLAP, HAND POCKET FLAPS",3,,,
14,14.0,26.0,other,POWDER SKIRT GRIPPER ELASTIC ,"NITRO Embossed 
petersham tape 
(E1342816 20mm)
CHUN WO HO",POWDER SKIRT GRIPPER ELASTIC ,1,COLOR,,
15,15.0,27.0,fabric,GOGGLE POCKET BINDING,CHUN WO HO,GOGGLE POCKET OPENING,1,COLOR,,
16,16.0,28.0,other,JOEY CORD KEEP 3MM,WOOJIN/ W863,LINING CENTER FRONT CHEST,1,BLACK,,
17,17.0,31.0,other,15MM METAL SNAP,LUK'S / 404,HIDDEN AT HEM,1 SET,METAL COLOR,,
18,18.0,32.0,other,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,METAL COLOR,,
19,19.0,33.0,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"1 FEMALE, 2 MALE",METAL COLOR,,
20,20.0,34.0,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION ON TABS,3 SETS,METAL COLOR,,
21,21.0,35.0,other,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
22,22.0,36.0,other,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
23,23.0,37.0,other,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
24,24.0,38.0,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST ,2 PER SIDE = 4,METAL COLOR,,
25,25.0,39.0,other,CORD LOCK,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
26,26.0,40.0,other,BEAD,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
27,27.0,41.0,other,METAL EYELETS 11MM ,LUK'S / ET89,BACK HOOD ADJUST,1,METAL COLOR,,
28,28.0,42.0,other,CORD LOCK,,BACK HOOD ADJUST,1,COLOR,,
29,29.0,43.0,other,BEAD,,BACK HOOD ADJUST,1,COLOR,,
30,30.0,44.0,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
31,31.0,47.0,other,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
32,32.0,48.0,other,"GROSGRAIN 3/8""",XXX,ATTACH HEM CORD LOCK,1 PER SIDE = 2,COLOR,,
33,33.0,49.0,other,"GROSGRAIN 3/8""",XXX,ATTACH BACK HOOD CORD LOCK,1,COLOR,,
34,34.0,50.0,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
35,35.0,51.0,other,"GROSGRAIN 3/4"" X 1"" ",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS BEHIND SNAPS,1,COLOR,,
36,36.0,52.0,other,"ELASTIC 3/4"" (CB 3/4 X 4"") (SIDE TABS 3/4 X 3 1/4""",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS,3 PIECES ,COLOR,,
37,37.0,53.0,other,SHOCKCORD,XXX,HOOD,1,COLOR,,
38,38.0,54.0,other,SHOCKCORD,XXX,HEM,1,COLOR,,
39,39.0,55.0,other,"ELASTINE TAPE (USED IN 1"" X1 1/2"" WELT)",XXX,LINING MEDIA POCKET CORD EXIT,1,COLOR,,
40,40.0,58.0,interfacing,BONDING FILM,XXX,HOOD BRIM,1,,,
41,41.0,59.0,interfacing,BONDING FILM,,BACK HOOD ADJUST WELT,1,,,
42,42.0,60.0,other,BONDING FILM,XXX,CENTER FRONT PLACKET,1,,,
43,43.0,61.0,other,BONDING FILM,XXX,CUFF TABS,1 PER SIDE = 2,,,
44,44.0,62.0,other,BONDING FILM,XXX,HAND POCKET FLAPS,1 PER SIDE = 2,,,
45,45.0,63.0,interfacing,BONDING FILM,XXX,ZIPPER GARAGES,,,,
46,46.0,66.0,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,INSET CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
47,47.0,67.0,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
48,48.0,71.0,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
49,49.0,72.0,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
50,50.0,75.0,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
51,51.0,79.0,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
52,52.0,84.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
53,53.0,85.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
54,54.0,86.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
