,,MATERIAL_ID,CATEGORY,,,position,,color_way,fabric,
0,0.0,6.0,insulation,INSULATION:,,100G PINNECO CORE ,,,TARGET FOB:,0.0
1,1.0,9.0,zipper,#5 VISLON ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
2,2.0,10.0,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
3,3.0,11.0,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 2-WAY BOTTOM LOCKING,SIDE ENTRY (RIGHT),1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
4,4.0,12.0,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
5,5.0,15.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
6,6.0,16.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET VERTICAL,1,COLOR,,
7,7.0,17.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY (RIGHT),2,COLOR,,
8,8.0,18.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
9,9.0,21.0,other,NITRO FAUX SUEDE PATCH/ N19-TRIM002,CHUN WO HO/ M1494817,FRONT LEFT HEM,1,COLOR,,
10,10.0,22.0,other,"Nitro Embossed 
Petersham Logo binding tape","CHUN WO HO
E1342816 20MM",HOOD AND SLEEVE HEMS,3,COLOR,,
11,11.0,27.0,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (LEFT SIDE),2,COLOR,,
12,12.0,28.0,other,CORD LOCK,,HEM ADJUST (LEFT SIDE),1,COLOR,,
13,13.0,29.0,other,BEAD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
14,14.0,33.0,other,"GROSGRAIN 3/8""",,HEM ADJUST (LEFT SIDE),1,COLOR,,
15,15.0,34.0,other,SHOCKCORD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
16,16.0,43.0,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
17,17.0,44.0,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
18,18.0,47.0,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
19,19.0,51.0,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
20,20.0,55.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
21,21.0,56.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
22,22.0,57.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
