,material,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,zipper,outer,inner
0,"lm792, sotl085-pu01, lm792, sotl085-pu01, ym11-3527, l1025 sw, cifol-39 dsbyg (h3), cfc-39 dw2w (e)         , web-ref-8mm, 1/4"" elastic, pca224, 10mm grosgrain ribbon, *new* 2mm shockcord , 7mm thread eyelet, rht-004, rht-009, dw-rc-001, m_t42_bd, sco-lb-adrs    , 8mm grosgrain , ccl-094, ccl-001, po label, m-ht-app+chain, fit-ht-gen, fit-ht-ath",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"4560, please source, cifol-56 da8blh1 (e)           , cfc-36 dablh (e)         , cfc-36 dablh (e)         , zp-561/5    , zp-562/3    , pca224, 10mm grosgrain ribbon, p481s001, 1034213, 5mm eyelet, 3/4"" foldable lycra, hdp-003, sb-hdp-804, m-size-20, 8mm grosgrain ribbon    , ccl-164, po label, m-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, duro-ht-uv-2, mapp    ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"sck-757s, sck-757s, cfc-39 dsbsos02a (h3), 3/4"" foldable lycra, normal flatlock, normal flatlock, dp-634, sb-dp-804, m-size-20, 8mm grosgrain ribbon    , ccl-149, po label, m-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, duro-ht-4s-2, duro-ht-uv-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"fe529-a, fe529-a, sck-757s, tba-use available #5 coil open end, 1 slider for proto, tba-use available #3 coil closed end for proto, tba-use available #3 coil closed end for proto, 142-01951-000013 , pca224, 10mm grosgrain ribbon, p481s001, 1034213, 5mm eyelet, 3/4"" foldable lycra, gramax thread, gramax thread, dp-634, sb-dp-804, durawelt overlays, durawelt overlays, m-size-20, 8mm grosgrain ribbon    , ccl-001, po label, m-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, duro-ht-uv-2, dryo-ht-wr-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"#9068 powerdry, sck-757s, l1025 sw, cifol-39 dsbyg (h3), chc-36 dadr2a (e), cfc-39 dsbyg (h3), 3/4"" foldable lycra    , ext-tape-10, coverstitch, tba, can you test which type works best with the polartec fabric such as print, high density print etc?, phtw-15, m-int-20, 8mm grosgrain locker loop, ccl-152, po label, m-ht-lay, hangtag chain, fit-ht-gen, fit-ht-ath, ppg-15, porptec-15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"meln135, l1025 sw, cifol-56 da8blh1 (e)           , cfc-36 dablh (e)         , zp-561/5    , zp-562/3    , pca224, 10mm grosgrain ribbon, p481s001, 1034213, 5mm eyelet, 3/4"" foldable lycra, gramax thread, sb-dp-804, ats, m-size-20, 8mm grosgrain ribbon    , ccl-001, po label, m-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, duro-ht-uv-2, dryo-ht-wr-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"lm792 2.5l, sotl085-pu01, lm792 2.5l, sotl085-pu01, sck-757s, l1025 sw, ym11-3527, cifor-39 dsbyg (h3), chc-36 dadr2a e  , tba, 1/4"" elastic, 1"" elastic, pca224, 10mm grosgrain ribbon, 2mm shockcord, 7mm thread eyelet, thad01p10gbk10, rht-004, rht-009, laser cut holes, w_t43_bd, sco-lb-adrs    , 8mm grosgrain , ccl-094, ccl-001, po label",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"4560, sck-757s, gramax thread, dp-634, dp-755, ats, w-int-20, 8mm grosgrain ribbon    , sco-41    , tba, ccl-ht-lb, sco-lb-can-, po label, w-ht-lay, hangtag pin, fit-ht-gen, fit-ht-athl, duro-ht-uv-2, mapp    ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"sck-757s, sck-757s, st967 double weave, cfc-39 dsbsos02a (h3)       , cfc-36 dablh (e)           , zp-562/3    , gramax thread, dp-634, dp-755, w-int-size, 8mm grosgrain ribbon    , ccl-149, po label, w-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, duro-ht-4s-2, duro-ht-uv-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"fe529-a, fe529-a, cifor-56 da8blh (e) , cfc-36 dablh (e), chc-36 dadr2a (e), zp-561/5    , zp-562/3    , 3/4"" foldable lycra, gramax thread, gramax thread, dp-634, dp-755, lc holes, w-int-size, 8mm grosgrain ribbon    , ccl-001, po label, w-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, dryo-ht-wr-2, duro-ht-uv-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"#9068 powerdry, please source, l1025 sw, cifor-39 dsbyg (h3), cfc-36 dablh (e), zp-561/5    , zp-562/3    , normal flatlock stitch, dp-634, dp-755, phtw-15 , w-int-20, 8mm grosgrain webbing, sco-41    , ccl-020, po label, w-ht-lay, hangtag chain, fit-ht-gen, fit-ht-ath, ppg-15, porptec-15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
