MATERIAL_ID,0,1,2,3,4,5,7
6,,INSULATION: ,,NON INSULATED,,TARGET FOB: ,68
15,NON INSULATED,,,,NON INSULATED,,
21,"HOOD BRIM, CF PLACKET, CUFF TABS, POCKET FLAPS AND OPENINGS, BACK HOOD FLAP",GLUE FILM,SEALON / ,,YES,,
24,"HOOD,  SLEEVES, CHEST AND ARM POCKET BAG",SOLID 210D,SOLIS / REF NUMBER,,,,
25,FRONT AND BACK PANELS,PRINTED 210T,SOLIS / REF NUMBER,,,,
26,LOWER BODY & POWDER SKIRT ,SOLID COATED 210D,SOLIS / REF NUMBER,,,,
27,CHIN,RENTEX,SOLIS / REF NUMBER,,,,
28,UNDERAM VENTS,REGULAR MESH,SOLIS / REF NUMBER,,,,
29,GOGGLE POCKET,POWER STRETCH MESH,SOLIS / REF NUMBER,,,,
30,HAND POCKET LINING,BRUSHED TRICOT,,,,,
31,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,,,
