,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 reverse coil matte water resistant,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/pull color: x6 black oxides zipper tape/ teeth color: black,silder/pull color: x6 black oxides zipper tape/ teeth color: black,silder/pull color: x6 black oxides zipper tape/ teeth color: black,silder/pull color: x6 black oxides zipper tape/ teeth color: black
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,chest pockets vertical,2,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color: x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,sleeve pocket,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color: x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color: x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
5, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color: x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
6, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color: x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
7,additional zipper pulls,supplier/ reference number,location,amount,black,silt,walnut,dusty green
8,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull = 2,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides 
9,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,chest pockets (2) hand pockets (2) sleeve pocket (1),5,black faux leather,black faux leather,black faux leather,black faux leather
10, 11nt-045 / self fabric pull ,factory made,under arm vents,1 per side = 2,match to shell,match to shell,match to shell,match to shell
11, 11nt-045 / self fabric pull ,factory made,lining pocket,1 per side = 2,match to shell,match to shell,match to shell,match to shell
12,branded trims,supplier/ reference number,location,amount,black,silt,walnut,dusty green
13,"l1-2018-trim-012
heat transfer label ",please source,front right hem,1,black/gold,black/gold,black/gold,black/gold
14,"l1-2018-trim-014
l1 sleeve injection mold logo.
2mm embossed effect. 2.62 cm x 2.6 cm",soluna,front left sleeve hem,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric
15,"l1-2018-trim-015
l1 shoulder injection mold logo.
2mm embossed effect. 3.3 cm x 3.3 cm",soluna,back right,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric
16,trims,supplier/ reference number,location,amount,black,silt,walnut,dusty green
17,15mm metal snap,luk's / 404,powder skirt - front closure,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
18,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
19,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
20,metal eyelets 8mm,luk's / et04,hood cord exit front,2 per side = 4,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
21,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
22,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,matte black,matte black,matte black,matte black
23,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,matte black,matte black,matte black,matte black
24,bead,sv160725-1a,hem adjust,1 per side = 2,matte black,matte black,matte black,matte black
25,shockcord tip,sunsun/ sv170208-3a,front hood shockcord ends,1 per side = 2,matte black,matte black,matte black,matte black
26,keyclip,as production,right hand pocket,1,black,black,black,black
27,notions,supplier/ reference number,location,amount,black,silt,walnut,dusty green
28,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black
29,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black
30,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
31,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
32,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,match to shell
33,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,match to shell
34,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell
35,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
36,elastic ,none,back of sleeve cuffs,1,available,available,available,available
37,"elastic 1/4"" ",none,cable guide,1,black,black,black,black
38,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
39,elastine binding,none,goggle pocket binding,1,black,black,black,black
40,elastine kissing welts,none,media pocket cord exits,2,black,black,black,black
41,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,2,"colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal "
42,bonding film,supplier/ reference number,location,amount,black,black,black,black
43,bonding film,none,hood brim,1,bonding film,bonding film,bonding film,bonding film
44,bonding film,none,chin vents,1 per side = 2,bonding film,bonding film,bonding film,bonding film
45,bonding film,none,chest pocket openings,1 per side = 2,bonding film,bonding film,bonding film,bonding film
46,bonding film,none,hand pocket flaps,1 per side = 2,bonding film,bonding film,bonding film,bonding film
47,bonding film,none,cuff tabs,1 per side = 2,bonding film,bonding film,bonding film,bonding film
48,bonding film,none,sleeve pocket opening,1,bonding film,bonding film,bonding film,bonding film
49,velcro,supplier/ reference number,location,amount,black,silt,walnut,dusty green
50,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
51,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
52,thread,spi,supplier/ ref number,amount,black,silt,walnut,dusty green
53,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
54,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
55,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
56,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
57,labels ,supplier/ reference number,location,amount,black,silt,walnut,dusty green
58,20k/20k fully taped,soluna/ main label,center back below neck seam,1,20k/20k fully taped,20k/20k fully taped,20k/20k fully taped,none
59,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none
60,hang tags,supplier/ reference number,location,amount,black,silt,walnut,dusty green
61,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none
62,care and content labels,supplier/ reference number,location,amount,black,silt,walnut,dusty green
63,address label,factory sourced,lining left side seam,1,address label,address label,address label,none
64,content label,factory sourced,lining left side seam,1,content label,content label,content label,none
65,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,none
