,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7
1,center front,#5 coil,ykk za snap on // 1-way seperating semi auto lock ,1,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black
2,hand pockets,#5 coil,dadhr diecast wire (non ykk) auto non lock ,1 per side = 2,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black
3,zipper pulls,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
4,center front,l1 snap on metal zipper pull,shenzhen guan hong metal zipper co.  / l1-2016-trim-009 ,1,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,pseudo anti silver 
5,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,shell fabric matching,shell fabric matching,shell fabric matching
6,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,shell fabric matching,shell fabric matching,shell fabric matching
7,l1 branded trims,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
8,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,dtm,dtm,dtm
9,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,dtm,dtm,dtm
10,lower body,l1 snap,luks / l1-2016-trim-002,2,pseudo anti silver/black,pseudo anti silver/black,pseudo anti silver/black,pseudo anti silver/black
11,left chest,l1 faux leather triangle patch,yiqing shoe factory / l1-2017-trim-102,1,black,black,black,black
12,snaps,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
13,cf powder skirt closure,14 mm plastic snap 24l metal snap,duraflex / 1414,"4 male, 2 female",matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base
14,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap 24l metal snap,duraflex / 1414,3 sets,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base
15,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap 24l metal snap,duraflex / 1414,"1 male, 1 female",matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base
16,cord locks,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
17,hem hood cord lock,cord lock,knk / sp-177,1 per side = 2,black,black,black,black
18,hem cord lock tip,cord tip bead,knk / cs-074 zp20,1 per side = 2,black,black,black,black
19,grommets,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
20,hem adjust cord exit,small: grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,pseudo anti silver 
21,shockcord & drawcord,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
22,hem ,3mm stretch shockcord,suppler / ref nuber,none,black,black,black,black
23,hood,8mm round woven drawcord,sunsun / sv160218-1 a,none,black,19-4006 tpx black,16-0906 tpx sand,18-0950tpx  harvest
24,webbing ,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
25,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,black,black,black
26,hem cord lock tie downs,"3/8"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,black,black,black
27,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,black,black,black
28,jacket to pant connection center back ,"3/4"" x 1"" 1"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,black,black,black
29,jacket to pant connection at side tabs,"3/4"" x  3 1/2"" 3 1/4"" flat webbing (finished length)",suppler / ref nuber,1,black,black,black,black
30,inner pocket tab,"3/4""",suppler / ref nuber,1,black,black,black,black
31,elastic,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
32,powder skirt gripper elastic,25mm,suppler / ref nuber,1,black/grey,black/grey,black/grey,black/grey
33,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4"" 1"" x 4""",suppler / ref nuber,1,black,black,black,black
34,goggle pocket,elastine binding,suppler / ref nuber,1,black,black,black,black
35,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,black,black,black
36,encased in back of sleeve hem,none,suppler / ref nuber,1,stock,stock,stock,stock
37,velcro,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven
38,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,matching,matching,matching
39,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,matching,matching,matching
40,cf placket,"1/2"" x 3"" ",paiho / hooketn7 / loop#1057,2 sets,matching,matching,matching,matching
41,hand & chest pocket flaps,"1/2"" x 2"" ",paiho / hooketn7 / loop#1057,2 sets  per pocket flap,matching,matching,matching,matching
42,media pocket,"1/2"" x 3""",paiho / hooketn7 / loop#1057,2 pieces,matching,matching,matching,matching
43,thread,spi,ref number,amount,black,camo,sand / dark slate,harvest / raven
44,seams,10-12 spi,#604,none,matching,matching,matching,matching
45,topstitch,8-10 spi,none,none,matching,matching,matching,matching
46,bartacks,none,none,none,matching,matching,matching,matching
47,sleeve gaiter cover stitch,must be stretch thread,none,none,matching,matching,matching,matching
48,marketing,description,ref number,amount,black,camo,sand / dark slate,harvest / raven
49,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none,none
50,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none,none
51,lining left side seam,address label,sew as loop,1,address label,none,none,none
52,lining left side seam,content label,sew as loop,1,content label,none,none,none
53,lining left side seam,washing label,sew as loop,1,washing label,none,none,none
54,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none
