,description,ref,location,amount,colorway/4
1, #5 coil zipper,ykk / 5c dalh 1-way semi auto locking,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets,1 per side = 2,silder/pull/teeth color: x6 black oxides zipper tape color: black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,leg vent ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black
5,additional zipper pulls,supplier/ reference number,location,amount,vintage camo broken twill
6, 11nt-045 / self fabric pull ,factory made,hand pocket zippers,1 per side = 2,match to shell
7, 11nt-045 / self fabric pull ,factory made,leg vent zippers,1 per side = 2,match to shell
8,none,none,none,,none
9,branded trims,supplier/ reference number,location,amount,vintage camo broken twill
10,"l1-2018-trim-022
l1 19mm shank
black alloy
al023",luks,front waist band closure,1,al023 alloy (d) 
11,"l1-2018-trim-019
l1 10mm denim rivet
black alloy
al023",luks,"front right hand pocket, bottom edge of opening",1,al023 alloy (d) 
12,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,"front left hand pocket, bottom edge of opening",1,al023 alloy (d) 
13,"l1-2018-trim-004
brown faux leather hem wrap",please source,back right hand pocket flap,1,brown faux leather
14,"l1-2018-trim-027
l1 faux leather patch
brown ",please source,back left knee,1,brown faux leather
15,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell
16,trims,supplier/ reference number,location,amount,vintage camo broken twill
17,15mm metal snap,luk's / 404,back pocket flaps (hidden),1 per side = 2,al023 alloy (d) 
18,15mm metal snap,luk's / 404,sleeve hems,"1 female, 2 male",al023 alloy (d) 
19,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,al023 alloy (d) 
20,boot hook,none,front gaiter,1 per side = 2,al023 alloy (d) 
21,keyclip,as last year production,right hand pocket,1 per side = 2,black
22,notions,supplier/ reference number,location,amount,vintage camo broken twill
23,grosgrain,xxx,attach keyclip right hand pocket ,1,black
24,"shell tab 1""",soluna,under leg snaps,1 per side = 2,match to shell
25,"shell tab 1""",soluna,under boot hook,1 per side = 2,match to shell
26,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black
27,velcro,supplier/ reference number,location,amount,vintage camo broken twill
28,thread,spi,supplier/ ref number,amount,vintage camo broken twill
29,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),none,regular thread,match to shell
30,seams,10-12 spi,Feb-30,none,match to shell
31,topstitch,8-10 spi,heavy weight topstitch,none,match to shell
32,bartacks,none,100/2,none,match to shell
33,labels ,supplier/ reference number,location,amount,vintage camo broken twill
34,10k/10k fully seam sealed,soluna/ main label,front left leg,1,10k/10k fully seam sealed
35,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l"
36,hang tags,supplier/ reference number,location,amount,vintage camo broken twill
37,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag
38,pant fit hang tag,boyfriend fit,none,1,boyfriend fit
39,care and content labels,supplier/ reference number,location,amount,vintage camo broken twill
40,address label,factory sourced,lining left side seam,1,none
41,content label,factory sourced,lining left side seam,1,none
42,washing label,factory sourced,lining left side seam,1,none
