,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
0,3,insulation,,,Insulation:,"60gm Insulation at body sleeve,hood",,Collection: Freedom,,,,
1,10,fabric,,,,,FABRICS & LININGS,,,,,
2,11,fabric,A,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),"Main body, sleeves, collar, pockets",,BLACK,KOMBU GREEN,KHAKI,DARK NAVY,AB18MJ2_081
3,12,fabric,B,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),Hood,,CAMEL,BLACK,BLACK,OXBLOOD,AB18MJ2_081
4,13,fabric,C,Lining,210T-E EMB07 Terry Emboss Taffeta (Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
5,14,fabric,D,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
6,15,fabric,E,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
7,16,fabric,F,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),"powder skirt, wrist gators",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
8,17,other,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
9,18,other,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
10,19,insulation,I,Other,60gm Insulation,"Main body hood, sleeves",,,,,,AB18MJ2_081
11,20,interfacing,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ2_081
12,21,interfacing,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ2_081
13,23,other,L,,,,ZIPPERS,,,,,AB18MJ2_081
14,24,zipper,AA,Zipper,"YKK No.5 coil zipper.  Auto-lock slider DA8LH,   (Right hand pull left hand insert)",C.F.,1,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081
15,25,zipper,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081
16,26,zipper,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081
