,,MATERIAL_ID,CATEGORY,,,,position,,color_way_1,color_way_2,color_way_3,color_way_4
0,0.0,5.0,other,Glacier Pant,,MM Rating,,,,,,
1,1.0,9.0,fabric,,,,FABRICS & LININGS,,,,,
2,2.0,10.0,fabric,A,Shell Fabric,SOTP069-C1-H 100% Polyester 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"Main body, waistband, back waist self fabric patch",,BLACK,CAMEL,NAVY,WILLOW
3,3.0,11.0,fabric,B,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),"Knee panel, butt panels, back pockets",,VINTAGE BLACK,KHAKI,DARK NAVY,BLACK
4,4.0,12.0,fabric,C,Lining,210T-E EMB07 Terry Emboss Taffeta (Supplied by Ecoya),"Inside lining, Lower leg gaiters, back of front hand pocket",,BLACK,BLACK,BLACK,BLACK
5,5.0,13.0,fabric,D,Lining,Velvety Tricot - SOTO048-1 (supplied by Solis),"inside waistband, inner front pockets, inside fly panel",,BLACK,BLACK,BLACK,BLACK
6,6.0,14.0,fabric,E,Other,100% poly MESH - SOTC025-1 (supplied by Solis),vents,,BLACK,BLACK,BLACK,BLACK
7,7.0,15.0,fabric,F,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),lower leg gators,,BLACK,BLACK,BLACK,BLACK
8,8.0,16.0,zipper,,,,ZIPPERS,,,,,
9,9.0,17.0,zipper,AA,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH",(1) fly,1.0,VINTAGE BLACK 580,KHAHI 886,DARK NAVY391,BLACK
10,10.0,18.0,zipper,BB,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH1 (Zippers close down)",(2) hand pockets,2.0,VINTAGE BLACK 580,KHAHI 886,DARK NAVY391,BLACK
11,11.0,19.0,zipper,CC,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH1 (Zippers close to outseam)",(1) Back pockets,,VINTAGE BLACK 580,KHAHI 886,DARK NAVY391,BLACK
12,12.0,20.0,zipper,DD,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH (close down)",(2) lower leg bang zips,2.0,VINTAGE BLACK 580,KHAHI 886,DARK NAVY391,BLACK
13,13.0,21.0,zipper,EE,Zipper,"YKK No.5 nylon coil zippers,1-way hidden chain, auto-lock slider DA8LH1 (zippers close down)",(2) inseam vents,2.0,VINTAGE BLACK 580,KHAHI 886,DARK NAVY391,BLACK
14,14.0,22.0,other,FF,Zipper Pull,Utility cord zipper pullers with tied end - ABZP_01,"(2) vents ,(2)  hand pockets, (1) back pockets",5.0,BLACK,BLACK,BLACK,BLACK
