,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
11,a,wnp121-bj4sr4 3l $7.40,wide plus,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
15,non insulated,none,none,none,non insulated,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
18,fully 37.5 taped,width...seam tape,37.5,none,fully 37.5 taped,none,none
20,bonding film,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
21,"hood brim, cf placket, cuff tabs, pocket flaps and openings, back hood flap",glue film,sealon / ,none,yes,none,none
23,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
24,"hood,  sleeves, chest and arm pocket bag",solid 210d,solis / ref number,none,none,none,none
25,front and back panels,printed 210t,solis / ref number,none,none,none,none
26,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
27,chin,rentex,solis / ref number,none,none,none,none
28,underam vents,regular mesh,solis / ref number,none,none,none,none
29,goggle pocket,power stretch mesh,solis / ref number,none,none,none,none
30,hand pocket lining,brushed tricot,none,none,none,none,none
31,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
