,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,ink,military,rust,black
10,none,"lucky / ltc3170017-r5-h311 micro hb, 15k/15k",a,100% polyester,ink,military,rust,black
12,insulation,supplier/ reference number,location ,content,ink,military,rust,black
13,polyfill insulation ,pinneco mantle 60g,all over,100% polyester,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g
15,seam tape,supplier/ reference number,location ,content,ink,military,rust,black
16,seam tape,tsgs ,fully seam sealed,none,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
18,lining,supplier/ reference number,location ,content,ink,military,rust,black
19,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black,black
20,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print
21,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
22,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
23,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
24,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
25,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
26,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
27,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
28,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black
