,0,1,2,3,4,5,6
8,zippers,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
9,center front,#5 vislon,ykk za/dag snap on // 2-way seperating auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
10,waist pocket,#5 metal,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider and teeth / dtm tape,none,none
11,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
12,side entry hand pockets,#5 coil,dadhr diecast wire (non ykk) auto lock ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
13,back hem zip,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
14,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / black tape,none,none
16,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
17,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,pseudo anti silver ,none,none
18,underarms, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none
19,side entry hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none
20,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none
22,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
23,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none
24,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none
25,"cf, hand and chest pockets",l1 hem wrap,luks / l1-2016-trim-013,1,brown ,none,none
26,right hand pocket ,l1 new patch,luks / new trim ,1,brown,none,none
28,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
29,cf placket & hand pockets,24l metal snap,please sorce,7 sets,pseudo anti silver,none,none
30,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none
31,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none
32,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none
34,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
35,back hood cord lock,cord lock,knk / sp-177,1 per side = 2,tbd,none,none
36,back hood cord lock tip,cord tip,knk / cs-074,1 per side = 2,tbd,none,none
37,front hood cord locks (hidden on inside facing),cord lock,knk / sp-204,1 per side = 2,tbd,none,none
38,hem cord locks,cord lock,knk /  sp-058,1 per side = 2,tbd,none,none
39,pocket cord tip,cord lock,knk / cs-1,1 per side = 2,tbd,none,none
41,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
42,back hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,pseudo anti silver ,none,none
43,front hood adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none
44,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none
45,hem adjust cord exit in lining pocket,grommet  8mm diameter,please sorce,1 per side = 2,pseudo anti silver ,none,none
47,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
48,hood & hem,3mm stretch shockcord,suppler / ref nuber,none,none,none,none
50,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
51,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none
52,hem & hood cord lock tie downs,"1/4"" flat webbing loop",suppler / ref nuber,5,black,none,none
53,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none
54,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none
55,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none
57,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
58,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none
59,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none
60,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none
61,encased in back of sleeve hem,none,suppler / ref nuber,1,black,none,none
62,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none
64,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
65,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none
66,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none
67,cf placket,1.3 cm x 7.5cm,paiho / hooketn7 / loop#1057,4 sets,matching,none,none
68,hand pocket flaps,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,2 sets per pocket,matching,none,none
70,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3
71,seams,none,#604,none,matching,none,none
