,0,1,2,3,4,5,6
9,shell fabric ,supplier/ reference number,location ,content,black,military,walnut
10,micro twill,"solis / sott023-2l2-i micro twill 10k/10k
",a,none,black,military,walnut
11,ribbing,leader collar/ as last year production,sleeve cuffs,none,black,military,walnut
13,insulation,supplier/ reference number,location ,content,black,military,walnut
14,polyfill insulation ,pinneco mantle 80g ,all over,100% polyester,pinneco mantle 80g ,pinneco mantle 80g ,pinneco mantle 80g 
16,seam tape,supplier/ reference number,location ,content,black,military,walnut
17,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped
19,lining,supplier/ reference number,location ,content,black,military,walnut
20,blanket lining,solis / soty066-d blanket lining / brush / no dwr,hood,none,blanket lining,blanket lining,blanket lining
21,blanket lining,solis / soty066-d blanket lining / brush / no dwr,main body,none,blanket lining,blanket lining,blanket lining
22,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black
23,solid 210t ,solis / sonp006-1,sleeve pocket bag,100% nylon,black,black,black
24,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black
25,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black
26,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black
27,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black
28,regular mesh,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black
29,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black
