,0,1,2,3,4
10,shell fabric,description,ref number,content,colorways
11,a,oxford no washout 5k/5k coating + c6 dwr 80/10 $4.00,solis l2-584,100% poly,none
12,b,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,100% poly,none
14,insulation,description,ref number,content,colorways
15,hood & sleeves,insulation,"""cs"" type polyfill",100% poly,40g
16,body,insulation,"""cs"" type polyfill",100% poly,60g
18,seam tape,description,ref number,none,colorways
19,critically taped,bemis ,st-004,none,critically taped
21,lining,description,ref number,content,colorways
22,back,bone collector print,te er jia textile,100% poly,bone collector print
23,chin,bt-120 120g brushed tricot,fuk luen,100% poly,black
24,lower body & pow,coated 210t,te er jia textile,100% nylon,black
25,sleeve gaiter,lycra e3953b,ching hing textile,82% polyester 18% elastane,black
26,vents,regular mesh a-1014,fuk luen,100% poly,black
27,goggle pocket,regular mesh a-1014,fuk luen,100% poly,black
28,hood,solid 210t,te er jia textile,100% nylon,black
29,fronts,solid 210t,te er jia textile,100% nylon,black
30,sleeves,solid 210t,te er jia textile,100% nylon,black
31,hand pocket lining,solid 210t,te er jia textile,100% nylon,black
