,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
10,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",a,none,rust  ,ink  ,black,vintage camo broken twill
11,oxford,"solis/ oxford l2-581 / 10k/10k, c6 + dwr",b,none,black,gunmetal,black,x
12,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",b,none,x,x,x,vintage camo broken twill
14,insulation,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
15,polyfill insulation ,pinneco mantle 40g ,hood and sleeves,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g 
16,polyfill insulation ,pinneco mantle 60g ,body,100% polyester,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g 
18,seam tape,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
19,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
21,lining,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
22,solid 210t ,solis / sonp006-1,hood,100% polyester,black,black,black,black
23,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,x
24,solid satin,lucky / solid satin lining ltc36838-x-p1847,main body,100% polyester,x,x,x,black
25,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
26,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
27,solid 210t ,solis / sonp006-1,top entry hand pocket bags,100% nylon,black,black,black,black
28,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
29,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black
30,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
31,regular mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
32,regular mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
33,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black
