,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
11,a,wip003-qprdf6 $4.40/ oxford $4.00,wide +,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
15,hood & sleeves,synthetic down,df 200gm,100% poly,df 200gm,none,none
16,body,synthetic down,df 240gm,100% poly,df 240gm,none,none
18,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
19,critically taped,width...seam tape,sealon,none,critically taped,none,none
21,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
22,"hood,  sleeves, chest pocket bag",solid 210d,solis / ref number,none,none,none,none
23,front and back panels,printed 210t,solis / ref number,none,none,none,none
24,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
25,chin & hand pocket bags,brushed tricot,solis / ref number,none,none,none,none
26,underam vents & goggle pocket,regular mesh,solis / ref number,none,none,none,none
27,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
