,0,1,2,3,4,5,6,7
10,shell fabric,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
11,a,broken twill $3.70 10k/10k coat +80/10 dwr,solis,100% poly,black,x,x,harvest
12,a,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,x,camo,sand,x
13,b,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,black,camo,dark slate,raven
15,insulation,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
16,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over"
18,seam tape,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
19,critically taped,width...seam tape,tsgs,none,critically taped,critically taped,critically taped,critically taped
21,lining,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
22,"hood,  sleeves, chest and top entry pocket bag, front panels",solid nylon 210t,solis / ref number,none,black,black,black,black
23,black panel,solid 210t with eagle panel print,solis / ref number,none,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print
24,front and back panels,waffle fleece,solis / ref number,none,none,none,none,none
25,lower body & powder skirt ,solid coated 210t,solis / ref number,none,black,black,black,black
26,chin & side entry pocket bags,brushed tricot,solis / ref number,none,black,black,black,black
27,underam vents,a-101 regular mesh,solis / ref number,none,black,black,black,black
28,goggle pocket,a 101 regular mesh power stretch mesh,solis / ref number,none,black,black,black,black
29,sleeve gaiter,stretch lycra,solis / ref number,none,black,black,black,black
