,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
10,ottoman,"solis / sotp080-2l32-i ottoman, 10k 10k, c6 + dwr",a,none,black,bone,gunmetal,x
11,ottoman,"solis / sotp080-2l32-i ottoman, 10k 10k, c6 + dwr",b,none,rust,black,ink,x
12,broken twill,"solis / wl248 broken twill, 10k 10k, c6 + dwr",a,none,x,x,x,vintage camo broken twill
13,broken twill,"solis / wl248 broken twill, 10k 10k, c6 + dwr",b,none,x,x,x,vintage camo broken twill
15,insulation,supplier/ reference number,location ,content,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
16,polyfill insulation ,pinneco mantle 40g ,all over,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g 
18,seam tape,supplier/ reference number,location ,content,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
19,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
21,lining,supplier/ reference number,location ,content,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
22,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black,black
23,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black,black
24,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
25,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
26,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,black,black,black,black
27,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
28,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
29,regular mesh,supplier / ref code,underarm vents,100% polyester,black,black,black,black
30,regular mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
31,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
