,0,1,2,3,4,5
8,zippers,item,supplier/ ref number,amount,dark slate,raven
9,center front,#5 coil, za snap-on type (ykk) 1-way semi auto lock,1,enamel dull black slider / black tape,enamel dull black slider / black tape
10,inside pocket,#5 coil,dadhr diecast wire (non ykk) 1-way (non locking),1,enamel dull black slider / black tape,enamel dull black slider / black tape
12,zipper pulls,item,supplier/ ref number,amount,dark slate,raven
13,cf,l1-2016-trim-009,top pull only,1,enamel dull black,enamel dull black
15,hem,item,supplier/ ref number,amount,dark slate,raven
16,hem drawcord,8mm round woven drawcord with clear plastic tip,sunsun / sv160218-1 a,1,dark slate,raven
17,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black
19,l1 branded trims,item,supplier/ ref number,amount,dark slate,raven
20,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm
21,center front & hand pocket welts,l1 metal snap,luks / l1-2017-trim-001 l12017-trim-100,7,matt black finish,matt black finish
22,left chest,screen print  (see page 4 pdf),supplier / trim number,1,screen print  (see page 4 pdf),screen print  (see page 4 pdf)
23,back ,screen print  (see page 5 pdf),supplier / trim number,1,screen print  (see page 5 pdf),screen print  (see page 5 pdf)
26,thread,spi,ref number,amount,dark slate,raven
27,seams,10-12 spi,none,none,matching,matching
28,topstitch,8-10 spi,none,none,matching,matching
29,bartacks,none,none,none,matching,matching
31,marketing,description,ref number,amount,dark slate,raven
32,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none
33,lining cb facing,wp/ breathability // rn ca / made in china,wp/ breathability // rn ca / made in china,1,wp/ breathability // rn ca / made in china,none
34,lining left side seam,address label,sew as loop,1,address label,none
35,lining left side seam,content label,sew as loop,1,content label,none
36,lining left side seam,washing label,sew as loop,1,washing label,none
37,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none
