,0,1,2,3,4,5,6,7,8,9
8,zippers,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
9,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
10,hand pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: matte black/ tape color: black,none,none,none,none,none
11,right leg pocket,#5 matte water resistant,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: dtm shell / tape color: dtm shell,none,none,none,none,none
12,right back pocket ,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
13,left back pocket,#5 matte water resistant,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: dtm shell / tape color: dtm shell,none,none,none,none,none
14,"""balls out"" venting",#5 coil ,"non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)",1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
15,hem,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: matte black/ tape color: black,none,none,none,none,none
17,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
18,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
19,"""balls out"" venting", self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
20,back right pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none,none,none,none
22,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
23,waist closure ,l1 17mm metal snap ,supplier / l1-2016-trim-001,2,psudo anti silver,none,none,none,none,none
24,back right pocket flap,l1 17mm metal snap ,supplier / l1-2016-trim-001,1,psudo anti silver,none,none,none,none,none
25,back right pocket bag,l1 suede bar patch,l1-2017-trim-000,1,black,none,none,none,none,none
26,front left hem,l1 embroidery large,factory sourced // l1-2016-trim-027 ,1,dtm shell,none,none,none,none,none
28,snaps,#5 coil ,supplier/ ref number,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0
29,"""finger snap hem adjust"" back leg hem",24l metal snap,none,1 per side = 2,psudo anti silver,none,none,none,none,none
30,"""jacket to pant connection"" back 3 belt loops",24l metal snap,none,3,psudo anti silver,none,none,none,none,none
32,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
33,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
34,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,psudo anti silver,none,none,none,none,none
36,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
37,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none,none,none,none,none
38,boot hook reinforcement,"1"" tab",none,1 per side = 2,black,none,none,none,none,none
39,"""finger snap hem adjust"" reniforcement","1"" tab",none,1 per side = 2,black,none,none,none,none,none
41,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
42,seams,none,tseu,regular thread,matching,none,none,none,none,none
43,topstitch,none,tseu,topstitch thread,matching,none,none,none,none,none
44,bartacks,none,tseu,regular thread,matching,none,none,none,none,none
46,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
47,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
48,front left belt loop behind main hang tag,l1 pant fit hang tag ,supplier // regular fit,1,l1 pant fit hang tag  // regular fit,none,none,none,none,none
49,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
50,lining front right,l1 main label,regular fit // 20k/20k // fully taped ,1,regular fit // 20k/20k // fully taped ,none,none,none,none,none
51,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
52,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
53,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
54,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
