,0,1,2,3,4,5,6,7,8
10,shell fabric ,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
11,oxford,solis /  oxford l2-581 / 10k/10k / c6 + dwr,a,none,black,ink,bone,soil,x
12,broken twill,solis/  wl248 broken twill/ / 10k/10k / c6 + dwr,a,none,x,x,x,x,vintage camo broken twill
13,leather,suppler same quality as other faux leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
15,insulation,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
16,non insulated,none,none,none,none,none,none,none,none
18,seam tape,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
19,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped
21,lining,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
22,solid 210t ,solis / sonp006-1,bib and leg,100% nylon,black,black,black,black,black
23,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
24,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
25,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
26,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black
28,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
29,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
