,0,1,2,3,4,5,6,7,8
9,shell fabric ,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill
10,oxford,solis / l2-581 / 10k/10k c6 + dwr,a,none,black,soil,bone ,ink,x
11,broken twill,solis/ wl248 broken twill,a,none,x,x,x,x,vintage camo broken twill
12,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,100% leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
14,insulation,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill
15,polyfill insulation ,pinneco mantle 40g ,knees and seat,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g 
18,seam tape,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill
19,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped
21,lining,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill
22,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black,black,black
23,solid 210t ,solis / sonp006-1,knees and seat,100% nylon,black,black,black,black,black
24,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
25,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black,black
26,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
27,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black
29,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill
30,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
