,0,1,2,3,4,5,6
9,shell fabric ,supplier/ reference number,location ,content,silt,black,walnut
10,none,lucky / ltc32509-r5-h311 2l  / 20k/20k,a,none,silt,black,walnut
11,none,suppler? can you source same quality as other faux leather trims,front right belt loop,none,black faux leather,black faux leather,black faux leather
13,insulation,supplier/ reference number,location ,content,silt,black,walnut
14,non insulated,none,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,silt,black,walnut
17,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped
19,lining,supplier/ reference number,location ,content,silt,black,walnut
20,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black
21,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black
22,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black
23,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black
24,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black
25,power stretch mesh ,supplier / ref code,vents,100% polyester,black,black,black
27,lower leg lining print (see pdf),supplier/ reference number,location ,content,silt,black,walnut
28,on coated 210t,please source ,lower leg front and back,none,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
