,0,1,2,3,4,5,6,7,8
9,shell fabric ,supplier/ reference number,location ,content,black,military,rust,bone,walnut
10,ottoman,solis/ sotp080-2l32-i ottoman / 10k/10k dot lam / c6 + dwr,a,none,black,black,black,black,black
11,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather
13,insulation,supplier/ reference number,location ,content,black,military,rust,bone,walnut
14,non insulated,none,none,none,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,black,military,rust,bone,walnut
18,seam tape,tsgs ,critically seam sealed,none,critically seam sealed,critically seam sealed,critically seam sealed,critically seam sealed,critically seam sealed
20,lining,supplier/ reference number,location ,content,black,military,rust,bone,walnut
21,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black
22,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
23,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
24,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
26,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,military,rust,bone,walnut
27,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
