,0,1,2,3,4,5
11,shell fabric,item,supplier/ ref number,content,black overdye denim,brown overdye denim
12,all shell is same fabric,overdye pigment $6.90 10k/10k,laka tex  ls1068-dl2a,"85% cotton, 13% poly, 2% spandex",black overdye denim,no
13,all shell is same fabric,"brown overdye denim 10k/10k lamination + w/r + pigment, $10.65",solis - l2-1081,84.5% cotton/ 13.5 % poly/ 2% spandex,no,brown  l2-1081 overdye denim
15,insulation,item,supplier/ ref number,content,black overdye denim,brown overdye denim
16,non insulated,none,none,none,no,no
18,seam tape,item,supplier/ ref number,content,black overdye denim,brown overdye denim
19,critically taped,width...seam tape,sealon,none,yes,yes
21,lining,item,supplier/ ref number,content,black overdye denim,brown overdye denim
22,main body,small hole mesh ,please sorce,100% poly,black,black
23,lower leg,coated 210t,please sorce,100% nylon,black,black
24,waistband & fly,120g brushed tricot,please sorce,100% poly,black,black
25,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,black
