,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,military,walnut,port,black
10,micro herringbone,lucky / ltc3170017-r5-h311 micro hb ,a,none,miltary,walnut,port,black
11,oxford,"solis / oxford l2-581, 10k/10k, c6+dwr",b,none,miltary,walnut,port,black
13,insulation,supplier/ reference number,location ,content,military,walnut,port,black
14,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g
16,seam tape,supplier/ reference number,location ,content,military,walnut,port,black
17,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped
19,lining,supplier/ reference number,location ,content,military,walnut,port,black
20,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
21,printed satin,solis/ pr258 womens print,main body,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
22,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black
23,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black
24,solid coated 210t,solis/ sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
25,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black
26,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
27,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
28,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
29,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
