,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,silt,port,walnut,black
10,micro rip stop,"solis / sotl120-d
micro rip",a,none,silt,port,walnut,black
12,insulation,supplier/ reference number,location ,content,silt,port,walnut,black
13,polyfill insulation ,pinneco core 150g,all over,none,150g,150g,150g,150g
15,seam tape,supplier/ reference number,location ,content,silt,port,walnut,black
16,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
18,lining,supplier/ reference number,location ,content,silt,port,walnut,black
19,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
20,printed satin,solis/ pr258 womens print,main body,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
21,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black
22,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black
23,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
24,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
25,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
26,powerstretch mesh,supplier / ref code,underarm vents,100% polyester,black,black,black,black
27,powerstretch mesh,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
28,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
