,0,1,2,3,4,5,6,7,8
9,shell fabric ,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
10,oxford,"solis /  oxford l2-581, 10k/10k, c6+ dwr",a,none,port,military,bone,black,vintage camo broken twill
11,broken twill,"solis / wl248 broken twill / 10k/10k, c6+ dwr",b,none,port,military,floral print broken twill,black,vintage camo broken twill
13,insulation,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
14,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g
16,seam tape,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
17,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped,critically seam taped
19,lining,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
20,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,x
21,printed satin,solis/ pr258 womens print,center back ,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,x
22,solid satin,solis/ pr258 solid black satin,hood,100% polyester,x,x,x,x,solis/ pr258 solid black satin
23,solid satin,solis/ pr258 solid black satin,center back ,100% polyester,x,x,x,x,solis/ pr258 solid black satin
24,solid satin,solis/ pr258 solid black satin,main body,100% polyester,black,black,black,black,black
25,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black,black
26,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black
27,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,black,black,black,black,black
28,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black,black
29,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black,black
30,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black,black,black
31,regular mesh ,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black,black,black
32,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black,black
